POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,11,Classified,8,20:01.081,-,-,5,2:19.237,149.2,GTDRIVE,,,,,,,,,,,,,,,,Jérémy,TOURNISSOUX,,,FRA,,,,,,,
2,101,Classified,8,20:01.524,+0.443,+0.443,6,2:19.948,148.5,GTDRIVE,,,,,,,,,,,,,,,,Romain,DAMIANI,,,FRA,,,,,,,
3,99,Classified,8,20:02.009,+0.928,+0.485,5,2:19.594,148.8,MV2S RACING,,,,,,,,,,,,,,,,Julien,DE MIGUEL,,,FRA,,,,,,,
4,128,Classified,8,20:02.477,+1.396,+0.468,5,2:19.701,148.7,GTDRIVE,J,,,,,,,,,,,,,,,Matteo,NOMBLOT,,,FRA,,,,,,,
5,88,Classified,8,20:02.685,+1.604,+0.208,4,2:19.415,149.0,MV2S RACING,J,,,,,,,,,,,,,,,Mathias,CAZAUX,,,FRA,,,,,,,
6,24,Classified,8,20:07.205,+6.124,+4.520,5,2:20.387,148.0,GENERATION STUNT,G,,,,,,,,,,,,,,,Sebastien,SEVEAU,,,FRA,,,,,,,
7,116,Classified,8,20:11.702,+10.621,+4.497,4,2:20.587,147.8,TEAM LUCAS,S,,,,,,,,,,,,,,,Jérôme,THIEL,,,FRA,,,,,,,
8,64,Classified,8,20:19.772,+18.691,+8.070,4,2:21.737,146.6,MV2S RACING,,,,,,,,,,,,,,,,Thomas,LAISNE,,,FRA,,,,,,,
9,8,Classified,8,20:24.959,+23.878,+5.187,3,2:22.973,145.3,GTDRIVE,S,,,,,,,,,,,,,,,Jean-Marc,BOURGINEAU,,,FRA,,,,,,,
10,55,Classified,8,20:38.638,+37.557,+13.679,4,2:23.948,144.3,DNS,G,,,,,,,,,,,,,,,Jonathan,POTIER,,,FRA,,,,,,,
11,14,Classified,8,20:41.990,+40.909,+3.352,6,2:24.667,143.6,BJP RACING,G,,,,,,,,,,,,,,,Jean Pierre,BLAISE,,,BEL,,,,,,,
12,77,Classified,8,20:42.763,+41.682,+0.773,5,2:24.840,143.4,VPS RACING,S,,,,,,,,,,,,,,,Denis,VAN LITSENBORGH,,,FRA,,,,,,,
13,6,Classified,8,21:14.876,+1:13.795,+32.113,8,2:23.593,144.7,FP RACING,G,,,,,,,,,,,,,,,Yohann,SADARGUES,,,FRA,,,,,,,
14,94,Classified,8,21:36.818,+1:35.737,+21.942,4,2:23.440,144.8,GAS RACING,G,,,,,,,,,,,,,,,André,PATZE,,,BEL,,,,,,,
15,78,Classified,7,20:21.761,1 Lap,1 Lap,6,2:32.739,136.0,VPS,G,,,,,,,,,,,,,,,Stéphane,DILOUYA,,,FRA,,,,,,,
16,66,Classified,7,20:45.938,1 Lap,+24.177,7,2:22.765,145.5,GTDRIVE,S,,,,,,,,,,,,,,,Eric,GERARD,,,FRA,,,,,,,
,69,Not classified,3,8:24.721,,,3,2:22.182,146.1,GTDRIVE,G,,,,,,,,,,,,,,,Xavier,BOURLARD,,,BEL,,,,,,,
,7,Not started,0,,,,0,,,MITJET INTERNATIONNAL,,,,,,,,,,,,,,,,Bastien,OSTAN,,,FRA,,,,,,,
