POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,25,12,2:19.606,-,-,180.6,13,Team GP Elite,,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Larry,TEN VOORDE,,,NLD,,,,,,,
2,92,14,2:20.080,+0.474,+0.474,180.0,15,VAN BERGHE Huber Racing,,TP,,Porsche 911 GT3 Cup,,,,,,,,,,,,Laurin,HEINRICH,,,DEU,,,,,,,
3,27,15,2:20.128,+0.522,+0.048,179.9,15,Fach Auto Tech,,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Christopher,ZÖCHLING,,,DEU,,,,,,,
4,77,13,2:20.496,+0.890,+0.368,179.5,14,Nebulus Racing by Huber,,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Leon,KÖHLER,,,DEU,,,,,,,
5,24,14,2:20.496,+0.890,+0.000,179.5,15,GP Elite,,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Max,VAN SPLUNTEREN,,,NLD,,,,,,,
6,11,13,2:20.511,+0.905,+0.015,179.4,14,Team GP Elite,R,TP,,Porsche 911 GT3 Cup,,,,,,,,,,,,Morris,SCHURING,,,NLD,,,,,,,
7,53,11,2:20.604,+0.998,+0.093,179.3,12,Phoenix Racing,,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Ayhancan,GÜVEN,,,TUR,,,,,,,
8,17,13,2:20.930,+1.324,+0.326,178.9,14,Martinet by Alméras,R,G,,Porsche 911 GT3 Cup,,,,,,,,,,,,Dorian,BOCCOLACCI,,,FRA,,,,,,,
9,99,13,2:20.992,+1.386,+0.062,178.8,14,Allied Racing,R,TP,,Porsche 911 GT3 Cup,,,,,,,,,,,,Bastian,BUUS,,,DNK,,,,,,,
10,26,15,2:21.150,+1.544,+0.158,178.6,16,Team GP Elite,,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Jesse,VAN KUIJK,,,NLD,,,,,,,
11,18,13,2:21.394,+1.788,+0.244,178.3,14,HRT Performance,,TP,,Porsche 911 GT3 Cup,,,,,,,,,,,,Julian,HANSES,,,DEU,,,,,,,
12,16,15,2:21.423,+1.817,+0.029,178.3,16,GP Elite,,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Daan,VAN KUIJK,,,NLD,,,,,,,
13,15,14,2:21.898,+2.292,+0.475,177.7,15,GP Elite,,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Lucas,GROENEVELD,,,NLD,,,,,,,
14,41,16,2:22.019,+2.413,+0.121,177.5,17,MRS GT-Racing,,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Jukka,HONKAVUORI,,,FIN,,,,,,,
15,4,7,2:22.129,+2.523,+0.110,177.4,11,Black Falcon Team Textar,,TP,,Porsche 911 GT3 Cup,,,,,,,,,,,,Loek,HARTOG,,,NLD,,,,,,,
16,10,14,2:22.173,+2.567,+0.044,177.3,15,Fach Auto Tech,,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Sandro,KAIBACH,,,DEU,,,,,,,
17,19,15,2:22.207,+2.601,+0.034,177.3,16,Nebulus Racing by Huber,R,TP,,Porsche 911 GT3 Cup,,,,,,,,,,,,Antonio,TEIXEIRA,,,CHE,,,,,,,
18,57,6,2:23.197,+3.591,+0.990,176.1,13,CarTech Motorsport by Nigrin,,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Rudy,VAN BUREN,,,NLD,,,,,,,
19,46,15,2:23.299,+3.693,+0.102,176.0,16,HRT Performance,R,TP,,Porsche 911 GT3 Cup,,,,,,,,,,,,Fabio,CITIGNOLA,,,DEU,,,,,,,
20,8,12,2:23.639,+4.033,+0.340,175.5,13,Nebulus Racing by Huber,ProAm,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Georgi,DONCHEV,,,BGR,,,,,,,
21,89,15,2:23.778,+4.172,+0.139,175.4,16,VAN BERGHE Huber Racing,ProAm,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Bashar,MARDINI,,,UAE,,,,,,,
22,7,12,2:24.970,+5.364,+1.192,173.9,13,HRT Motorsport,ProAm,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Kim,HAUSCHILD,,,DEU,,,,,,,
23,96,14,2:25.158,+5.552,+0.188,173.7,15,Phoenix Racing,ProAm,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Jan-Erik,SLOOTEN,,,DEU,,,,,,,
24,35,8,2:25.248,+5.642,+0.090,173.6,12,Allied Racing,R,TP,,Porsche 911 GT3 Cup,,,,,,,,,,,,Rudolf,RHYN,,,CHE,,,,,,,
25,55,13,2:25.404,+5.798,+0.156,173.4,14,CarTech Motorsport by Nigrin,ProAm,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Sebastian,GLASER,,,DEU,,,,,,,
26,6,4,2:25.937,+6.331,+0.533,172.8,15,Black Falcon Team Textar,ProAm,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Carlos,RIVAS,,,LUX,,,,,,,
27,28,6,2:26.464,+6.858,+0.527,172.2,15,Fach Auto Tech,ProAm,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Christof,LANGER,,,DEU,,,,,,,
28,14,8,2:29.839,+10.233,+3.375,168.3,15,MRS GT-Racing,ProAm,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Ahmad,ALSHEHAB,,,KWT,,,,,,,
29,69,13,2:31.090,+11.484,+1.251,166.9,14,HRT Motorsport,ProAm,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Holger,HARMSEN,,,DEU,,,,,,,
