POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,17,7,2:23.514,-,-,175.7,7,MP Motorsport,R,,,,,,,,,,,,,,,Dilano,VAN'T HOFF,,,NLD,,,,,,,
2,8,6,2:23.770,+0.256,+0.256,175.4,6,Jenzer Motorsport,R,,,,,,,,,,,,,,,Santiago,RAMOS,,,MEX,,,,,,,
3,9,7,2:23.838,+0.324,+0.068,175.3,7,MP Motorsport,R,,,,,,,,,,,,,,,Rik,KOEN,,,NLD,,,,,,,
4,23,6,2:24.107,+0.593,+0.269,175.0,6,Campos Racing,R,,,,,,,,,,,,,,,Josep María,MARTÍ,,,ESP,,,,,,,
5,26,5,2:24.133,+0.619,+0.026,174.9,6,GRS Team,R,,,,,,,,,,,,,,,Vladislav,RYABOV,,,RAF,,,,,,,
6,77,5,2:24.179,+0.665,+0.046,174.9,7,MP Motorsport,R,,,,,,,,,,,,,,,Noah,DEGNBOL,,,DNK,,,,,,,
7,11,5,2:24.190,+0.676,+0.011,174.9,6,Pinnacle Motorsport,R,,,,,,,,,,,,,,,Alex,DUNNE,,,IRL,,,,,,,
8,29,7,2:24.201,+0.687,+0.011,174.9,7,MP Motorsport,R,,,,,,,,,,,,,,,Georg,KELSTRUP,,,DNK,,,,,,,
9,3,6,2:24.250,+0.736,+0.049,174.8,6,Teo Martin Motorsport,R,,,,,,,,,,,,,,,Oliver,MICHL,,,HUN,,,,,,,
10,28,5,2:24.327,+0.813,+0.077,174.7,6,Formula de Campeones,R,,,,,,,,,,,,,,,Daniel,MACIA,,,ESP,,,,,,,
11,25,4,2:24.411,+0.897,+0.084,174.6,6,Campos Racing,,,,,,,,,,,,,,,,Sebastian,OGAARD,,,DNK,,,,,,,
12,6,6,2:24.431,+0.917,+0.020,174.6,6,Jenzer Motorsport,R,,,,,,,,,,,,,,,Francesco,BRASCHI,,,ITA,,,,,,,
13,34,5,2:24.525,+1.011,+0.094,174.5,6,Formula de Campeones,,,,,,,,,,,,,,,,Enric,BORDÁS,,,ESP,,,,,,,
14,19,6,2:24.587,+1.073,+0.062,174.4,6,Teo Martin Motorsport,R,,,,,,,,,,,,,,,Filip,JENIC,,,SRB,,,,,,,
15,44,5,2:24.640,+1.126,+0.053,174.3,7,MP Motorsport,R,,,,,,,,,,,,,,,Manuel,ESPIRITO SANTO,,,PRT,,,,,,,
16,52,6,2:24.661,+1.147,+0.021,174.3,6,MP Motorsport,,,,,,,,,,,,,,,,Suleiman,ZANFARI,,,MAR,,,,,,,
17,1,5,2:24.747,+1.233,+0.086,174.2,7,Drivex School,R,,,,,,,,,,,,,,,Maksim,ARKHANGELSKII,,,RAF,,,,,,,
18,5,6,2:25.206,+1.692,+0.459,173.6,6,Jenzer Motorsport,R,,,,,,,,,,,,,,,Jorge,GARCIARCE,,,MEX,,,,,,,
19,4,6,2:25.323,+1.809,+0.117,173.5,6,Jenzer Motorsport,R,,,,,,,,,,,,,,,Samir,BEN,,,CHE,,,,,,,
20,13,5,2:25.493,+1.979,+0.170,173.3,6,MP Motorsport,R,,,,,,,,,,,,,,,Santiago,TRISINI,,,ITA,,,,,,,
21,27,6,2:25.730,+2.216,+0.237,173.0,6,Campos Racing,R,,,,,,,,,,,,,,,Oleksandr,PARTYSHEV,,,UKR,,,,,,,
22,68,5,2:27.014,+3.500,+1.284,171.5,6,Drivex School,R,,,,,,,,,,,,,,,Branden,LEE OXLEY,,,GBR,,,,,,,
23,7,6,2:27.058,+3.544,+0.044,171.5,6,MP Motorsport,R,,,,,,,,,,,,,,,Emely,DE HEUS,,,DEU,,,,,,,
24,75,4,2:27.262,+3.748,+0.204,171.2,6,Drivex School,R,,,,,,,,,,,,,,,Noam,ABRAMCZYCK,,,FRA,,,,,,,
25,10,5,2:29.134,+5.620,+1.872,169.1,6,Drivex School,R,,,,,,,,,,,,,,,Lola,LOVINFOSSE,,,FRA,,,,,,,
26,12,4,2:31.040,+7.526,+1.906,166.9,6,MP Motorsport,,,,,,,,,,,,,,,,Gil,MOLINA,,,MEX,,,,,,,
,14,0,,,,,6,Drivex School,R,,,,,,,,,,,,,,,Guilherme,OLIVEIRA,,,PRT,,,,,,,
,24,0,,,,,6,Campos Racing,,,,,,,,,,,,,,,,Alejandro,GARCÍA,,,MEX,,,,,,,
