POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,7,Classified,10,19:18.767,-,-,6,1:54.758,181.7,ART Grand Prix,,,,Tatuus F4-T421,,,,,,,,,,,,Lena,Bühler,,,CHE,BUH,,,,,,
2,16,Classified,10,19:18.912,+0.145,+0.145,6,1:54.388,182.3,Prema Racing,,,,Tatuus F4-T421,,,,,,,,,,,,Bianca,Bustamante,,,PHL,BUS,,,,,,
3,10,Classified,10,19:19.107,+0.340,+0.195,6,1:54.244,182.5,Rodin Carlin,,,,Tatuus F4-T421,,,,,,,,,,,,Abbi,Pulling,,,GBR,PUL,,,,,,
4,8,Classified,10,19:19.793,+1.026,+0.686,8,1:54.518,182.1,ART Grand Prix,,,,Tatuus F4-T421,,,,,,,,,,,,Carrie,Schreiner,,,DEU,SCH,,,,,,
5,11,Classified,10,19:24.767,+6.000,+4.974,3,1:54.942,181.4,Rodin Carlin,,,,Tatuus F4-T421,,,,,,,,,,,,Jessica,Edgar,,,GBR,EDG,,,,,,
6,15,Classified,10,19:27.507,+8.740,+2.740,3,1:54.961,181.4,Prema Racing,,,,Tatuus F4-T421,,,,,,,,,,,,Marta,García,,,ESP,GAR,,,,,,
7,6,Classified,10,19:30.832,+12.065,+3.325,9,1:55.073,181.2,MP Motorsport,,,,Tatuus F4-T421,,,,,,,,,,,,Amna,Al Qubaisi,,,ARE,AAL,,,,,,
8,3,Classified,10,19:32.975,+14.208,+2.143,4,1:56.002,179.8,Mercantile Campos Racing,,,,Tatuus F4-T421,,,,,,,,,,,,Maite,Cáceres,,,URY,CAC,,,,,,
9,14,Classified,10,19:33.351,+14.584,+0.376,9,1:55.022,181.3,Prema Racing,,,,Tatuus F4-T421,,,,,,,,,,,,Chloe,Chong,,,GBR,CHO,,,,,,
10,4,Classified,10,19:51.969,+33.202,+18.618,5,1:54.559,182.0,MP Motorsport,,,,Tatuus F4-T421,,,,,,,,,,,,Hamda,Al Qubaisi,,,ARE,HAL,,,,,,
11,1,Classified,10,19:59.383,+40.616,+7.414,2,1:55.712,180.2,Mercantile Campos Racing,,,,Tatuus F4-T421,,,,,,,,,,,,Nerea,Martí,,,ESP,MAR,,,,,,
12,5,Classified,9,17:31.912,1 Lap,1 Lap,3,1:55.105,181.2,MP Motorsport,,,,Tatuus F4-T421,,,,,,,,,,,,Emely,de Heus,,,NLD,DEH,,,,,,
13,2,Classified,9,17:52.500,1 Lap,+20.588,3,1:54.868,181.6,Mercantile Campos Racing,,,,Tatuus F4-T421,,,,,,,,,,,,Lola,Lovinfosse,,,FRA,LOV,,,,,,
,12,Not classified,7,13:52.238,,,4,1:55.560,180.5,Rodin Carlin,,,,Tatuus F4-T421,,,,,,,,,,,,Megan,Gilkes,,,CAN,GIL,,,,,,
