POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,10,6,1:52.926,-,-,184.7,7,Rodin Carlin,,,,Tatuus F4-T421,,,,,,,,,,,,Abbi,Pulling,,,GBR,PUL,,,,,,
2,16,4,1:53.094,+0.168,+0.168,184.4,7,Prema Racing,,,,Tatuus F4-T421,,,,,,,,,,,,Bianca,Bustamante,,,PHL,BUS,,,,,,
3,4,7,1:53.175,+0.249,+0.081,184.3,7,MP Motorsport,,,,Tatuus F4-T421,,,,,,,,,,,,Hamda,Al Qubaisi,,,ARE,HAL,,,,,,
4,15,4,1:53.430,+0.504,+0.255,183.9,6,Prema Racing,,,,Tatuus F4-T421,,,,,,,,,,,,Marta,García,,,ESP,GAR,,,,,,
5,12,7,1:53.469,+0.543,+0.039,183.8,7,Rodin Carlin,,,,Tatuus F4-T421,,,,,,,,,,,,Megan,Gilkes,,,CAN,GIL,,,,,,
6,6,7,1:53.646,+0.720,+0.177,183.5,7,MP Motorsport,,,,Tatuus F4-T421,,,,,,,,,,,,Amna,Al Qubaisi,,,ARE,AAL,,,,,,
7,1,6,1:53.665,+0.739,+0.019,183.5,7,Mercantile Campos Racing,,,,Tatuus F4-T421,,,,,,,,,,,,Nerea,Martí,,,ESP,MAR,,,,,,
8,7,7,1:53.730,+0.804,+0.065,183.4,7,ART Grand Prix,,,,Tatuus F4-T421,,,,,,,,,,,,Lena,Bühler,,,CHE,BUH,,,,,,
9,11,6,1:53.740,+0.814,+0.010,183.4,7,Rodin Carlin,,,,Tatuus F4-T421,,,,,,,,,,,,Jessica,Edgar,,,GBR,EDG,,,,,,
10,8,5,1:53.894,+0.968,+0.154,183.1,6,ART Grand Prix,,,,Tatuus F4-T421,,,,,,,,,,,,Carrie,Schreiner,,,DEU,SCH,,,,,,
11,5,6,1:53.904,+0.978,+0.010,183.1,6,MP Motorsport,,,,Tatuus F4-T421,,,,,,,,,,,,Emely,de Heus,,,NLD,DEH,,,,,,
12,14,7,1:54.378,+1.452,+0.474,182.3,7,Prema Racing,,,,Tatuus F4-T421,,,,,,,,,,,,Chloe,Chong,,,GBR,CHO,,,,,,
13,2,5,1:54.643,+1.717,+0.265,181.9,7,Mercantile Campos Racing,,,,Tatuus F4-T421,,,,,,,,,,,,Lola,Lovinfosse,,,FRA,LOV,,,,,,
14,9,6,1:54.760,+1.834,+0.117,181.7,6,ART Grand Prix,,,,Tatuus F4-T421,,,,,,,,,,,,Chloe,Grant,,,GBR,GRA,,,,,,
15,3,6,1:55.700,+2.774,+0.940,180.2,7,Mercantile Campos Racing,,,,Tatuus F4-T421,,,,,,,,,,,,Maite,Cáceres,,,URY,CAC,,,,,,
