POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,71,10,2:01.473,-,-,171.7,11,,,,,Ralt RT3 - Alfa,,1982,,,,,,,,,,Matthieu,CHATEAUX,,,FRA,,,,,,,
2,34,10,2:02.797,+1.324,+1.324,169.8,12,,,,,Martini MK42,,1984,,,,,,,,,,Bruno,HOUZELOT,,,FRA,,,,,,,
3,80,11,2:02.904,+1.431,+0.107,169.7,11,,,,,March 783 - Toy,,1978,,,,,,,,,,Valerio,LEONE,,,MCO,,,,,,,
4,41,11,2:03.550,+2.077,+0.646,168.8,12,,,,,March 783,,1979,,,,,,,,,,,NELSON,,,FRA,,,,,,,
5,21,4,2:03.609,+2.136,+0.059,168.7,8,,Inter C,,,March 793 - VW,,1979,,,,,,,,,,Frédéric,LAJOUX,,,MCO,,,,,,,
6,22,8,2:03.638,+2.165,+0.029,168.7,12,,,,,Ralt RT3 - Alfa,,1984,,,,,,,,,,Laurent,VALLERY-MASSON,,,FRA,,,,,,,
7,28,11,2:03.855,+2.382,+0.217,168.4,12,,,,,Chevron B38 - Toy,,1977,,,,,,,,,,Xavier,MICHEL,,,FRA,,,,,,,
8,15,8,2:04.885,+3.412,+1.030,167.0,12,,,,,Ralt RT3 - Alfa,,1983,,,,,,,,,,Carlos,ANTUNES TAVARES,,,FRA,,,,,,,
9,4,12,2:04.993,+3.520,+0.108,166.8,12,,Inter C,,,Martini MK31 - Toy,,1980,,,,,,,,,,Jean-Pierre,EYNARD-MACHET,,,FRA,,,,,,,
10,19,10,2:05.663,+4.190,+0.670,166.0,11,,,,,Ralt RT3 - Alfa,,1983,,,,,,,,,,Roberto,NALE,,,ITA,,,,,,,
11,89,11,2:05.825,+4.352,+0.162,165.7,12,,Nationale,,,March 743 - Toy,,1974,,,,,,,,,,Bruno,FERRARI,,,ITA,,,,,,,
12,6,9,2:07.907,+6.434,+2.082,163.0,12,,,,,March 793 - Toy,,1979,,,,,,,,,,Bernard,LACOUR,,,FRA,,,,,,,
13,44,4,2:08.644,+7.171,+0.737,162.1,6,,Inter B,,,Chevron B38 - Toy,,1977,,,,,,,,,,Gianluigi,CANDIANI,,,ITA,,,,,,,
14,25,3,2:09.531,+8.058,+0.887,161.0,5,,Inter C,,,Ralt RT3 - Toy,,1983,,,,,,,,,,Daniel,HORNUNG,,,DEU,,,,,,,
15,31,11,2:09.844,+8.371,+0.313,160.6,12,,Inter C,,,Ralt RT1 - Toy,,1977,,,,,,,,,,Marco,COPPINI,,,ITA,,,,,,,
16,50,9,2:11.256,+9.783,+1.412,158.9,10,,,,,Ralt RT3,,1984,,,,,,,,,,Francesco,MACRI,,,ITA,,,,,,,
17,5,11,2:12.073,+10.600,+0.817,157.9,11,,Inter C,,,Argo JM10 - Toy,,1982,,,,,,,,,,Mauro,SCOTTI,,,CHE,,,,,,,
18,96,6,2:19.183,+17.710,+7.110,149.8,7,,,,,Ralt RT3,,1983,,,,,,,,,,Alexandre,FAUCHER,,,FRA,,,,,,,
19,55,8,2:21.100,+19.627,+1.917,147.8,10,,Inter B,,,March 793,,1978,,,,,,,,,,Paul,DANIELS,,,GBR,,,,,,,
20,59,0,,,,,2,,Inter C,,,March 783 - Toy,,1978,,,,,,,,,,Frédéric,ROUVIER,,,FRA,,,,,,,
21,81,0,,,,,0,,,,,March 783 - Toy,,1978,,,,,,,,,,Davide,LEONE,,,ITA,,,,,,,
