POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,15,Classified,7,33:21.898,-,-,4,1:55.222,181.0,Prema Racing,,,,Tatuus F4-T421,,,,,,,,,,,,Marta,García,,,ESP,GAR,,,,,,
2,7,Classified,7,33:21.907,+0.009,+0.009,4,1:55.312,180.9,ART Grand Prix,,,,Tatuus F4-T421,,,,,,,,,,,,Lena,Bühler,,,CHE,BUH,,,,,,
3,11,Classified,7,33:22.397,+0.499,+0.490,4,1:54.974,181.4,Rodin Carlin,,,,Tatuus F4-T421,,,,,,,,,,,,Jessica,Edgar,,,GBR,EDG,,,,,,
4,10,Classified,7,33:22.413,+0.515,+0.016,4,1:55.468,180.6,Rodin Carlin,,,,Tatuus F4-T421,,,,,,,,,,,,Abbi,Pulling,,,GBR,PUL,,,,,,
5,12,Classified,7,33:22.510,+0.612,+0.097,5,1:55.137,181.1,Rodin Carlin,,,,Tatuus F4-T421,,,,,,,,,,,,Megan,Gilkes,,,CAN,GIL,,,,,,
6,5,Classified,7,33:25.576,+3.678,+3.066,7,1:55.275,180.9,MP Motorsport,,,,Tatuus F4-T421,,,,,,,,,,,,Emely,de Heus,,,NLD,DEH,,,,,,
7,1,Classified,7,33:26.228,+4.330,+0.652,7,1:55.070,181.2,Mercantile Campos Racing,,,,Tatuus F4-T421,,,,,,,,,,,,Nerea,Martí,,,ESP,MAR,,,,,,
8,4,Classified,7,33:26.252,+4.354,+0.024,7,1:54.617,182.0,MP Motorsport,,,,Tatuus F4-T421,,,,,,,,,,,,Hamda,Al Qubaisi,,,ARE,HAL,,,,,,
9,6,Classified,7,33:26.661,+4.763,+0.409,7,1:54.767,181.7,MP Motorsport,,,,Tatuus F4-T421,,,,,,,,,,,,Amna,Al Qubaisi,,,ARE,AAL,,,,,,
10,2,Classified,7,33:27.431,+5.533,+0.770,7,1:54.622,181.9,Mercantile Campos Racing,,,,Tatuus F4-T421,,,,,,,,,,,,Lola,Lovinfosse,,,FRA,LOV,,,,,,
11,14,Classified,7,33:27.947,+6.049,+0.516,7,1:54.607,182.0,Prema Racing,,,,Tatuus F4-T421,,,,,,,,,,,,Chloe,Chong,,,GBR,CHO,,,,,,
12,3,Classified,7,33:31.418,+9.520,+3.471,7,1:55.507,180.6,Mercantile Campos Racing,,,,Tatuus F4-T421,,,,,,,,,,,,Maite,Cáceres,,,URY,CAC,,,,,,
,8,Not classified,1,2:54.744,,,0,,,ART Grand Prix,,,,Tatuus F4-T421,,,,,,,,,,,,Carrie,Schreiner,,,DEU,SCH,,,,,,
,16,Not classified,1,3:19.360,,,0,,,Prema Racing,,,,Tatuus F4-T421,,,,,,,,,,,,Bianca,Bustamante,,,PHL,BUS,,,,,,
,9,Not classified,0,,,,0,,,ART Grand Prix,,,,Tatuus F4-T421,,,,,,,,,,,,Chloe,Grant,,,GBR,GRA,,,,,,
