POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,IMSA_CarId,IMSA_TeamId,IMSA_ClassId,IMSA_CarTypeId,IMSA_ManufacturerId,IMSA_TireId,IMSA_SponsorId,IMSA_EventEntryId,*Extra 9,*Extra 10,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_IMSA_DriverId,DRIVER_IMSA_DriverPlugId,DRIVER_IMSA_DriverRatingLong,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,16,5,2:20.236,-,-,140.5,7,MDK Motorsports LLC,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Trenton,Estep,Silver,"San Antonio, TX",USA,,,,,,,
2,13,3,2:20.317,+0.081,+0.081,140.4,6,Robert Noaker Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Robert,Noaker,,"Duncannon, PA",USA,,,,,,,
3,74,3,2:20.334,+0.098,+0.017,140.4,6,Robert Noaker Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Tyler,Maxson,Silver,"Bogart, GA",USA,,,,,,,
4,46,3,2:20.704,+0.468,+0.370,140.0,6,Precision Performance Motorsports,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Brandon,Gdovic,Silver,"Jupiter, FL",USA,,,,,,,
5,22,2,2:21.151,+0.915,+0.447,139.6,6,McCumbee McAleer Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Jeremy,Fletcher,,"St. Cloud, FL",USA,,,,,,,
6,31,2,2:21.471,+1.235,+0.320,139.2,7,Robert Noaker Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Reid,Sweeney,,"Saint Louis, MO",USA,,,,,,,
7,2,5,2:21.693,+1.457,+0.222,139.0,7,Max Opalski Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Maximilian,Opalski,Silver,"Conifer, CO",USA,,,,,,,
8,26,4,2:21.715,+1.479,+0.022,139.0,7,Southern Paley Motorsports LLC,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Sam,Paley,,"Villa Hills, KY",USA,,,,,,,
9,18,6,2:22.031,+1.795,+0.316,138.7,7,JV Racing Team,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Marcos,Vento,,"San Juan, PR",PRI,,,,,,,
10,48,2,2:22.058,+1.822,+0.027,138.7,5,McCumbee McAleer Racing,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Zachry,Lee,,"San Antonio, TX",USA,,,,,,,
11,47,4,2:23.645,+3.409,+1.587,137.1,6,Precision Performance Motorsports,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Wesley,Slimp,Silver,"Atlanta, GA",USA,,,,,,,
12,94,4,2:23.947,+3.711,+0.302,136.8,6,KOHR MOTORSPORTS,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,D.J.,Randall,,"Odessa, FL",USA,,,,,,,
