POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,IMSA_CarId,IMSA_TeamId,IMSA_ClassId,IMSA_CarTypeId,IMSA_ManufacturerId,IMSA_TireId,IMSA_SponsorId,IMSA_EventEntryId,*Extra 9,*Extra 10,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_IMSA_DriverId,DRIVER_IMSA_DriverPlugId,DRIVER_IMSA_DriverRatingLong,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,13,11,2:23.341,-,-,137.4,11,Robert Noaker Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Robert,Noaker,,"Duncannon, PA",USA,,,,,,,
2,31,9,2:23.929,+0.588,+0.588,136.9,13,Robert Noaker Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Reid,Sweeney,,"Saint Louis, MO",USA,,,,,,,
3,16,12,2:24.109,+0.768,+0.180,136.7,12,MDK Motorsports LLC,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Trenton,Estep,Silver,"San Antonio, TX",USA,,,,,,,
4,74,7,2:24.130,+0.789,+0.021,136.7,12,Robert Noaker Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Tyler,Maxson,Silver,"Bogart, GA",USA,,,,,,,
5,46,11,2:24.356,+1.015,+0.226,136.5,11,Precision Performance Motorsports,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Brandon,Gdovic,Silver,"Jupiter, FL",USA,,,,,,,
6,26,9,2:25.125,+1.784,+0.769,135.7,10,Southern Paley Motorsports LLC,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Sam,Paley,,"Villa Hills, KY",USA,,,,,,,
7,22,11,2:25.608,+2.267,+0.483,135.3,11,McCumbee McAleer Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Jeremy,Fletcher,,"St. Cloud, FL",USA,,,,,,,
8,2,8,2:25.811,+2.470,+0.203,135.1,11,Max Opalski Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Maximilian,Opalski,Silver,"Conifer, CO",USA,,,,,,,
9,18,10,2:25.968,+2.627,+0.157,134.9,11,JV Racing Team,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Marcos,Vento,,"San Juan, PR",PRI,,,,,,,
10,19,10,2:26.144,+2.803,+0.176,134.8,11,Skip Barber Racing,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Mike,Stillwagon,,Northport NY,USA,,,,,,,
11,48,11,2:26.440,+3.099,+0.296,134.5,12,McCumbee McAleer Racing,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Zachry,Lee,,"San Antonio, TX",USA,,,,,,,
12,8,9,2:27.802,+4.461,+1.362,133.3,12,MDK Motorsports LLC,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Tom,Tait,Bronze,"Paradise Valley, AZ",USA,,,,,,,
13,47,8,2:27.843,+4.502,+0.041,133.2,12,Precision Performance Motorsports,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Wesley,Slimp,Silver,"Atlanta, GA",USA,,,,,,,
14,94,7,2:28.055,+4.714,+0.212,133.0,9,KOHR MOTORSPORTS,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,D.J.,Randall,,"Odessa, FL",USA,,,,,,,
15,52,9,2:28.119,+4.778,+0.064,133.0,11,KOHR MOTORSPORTS,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Christian,Bach,,"Orlando, FL",USA,,,,,,,
16,33,11,2:28.153,+4.812,+0.034,133.0,11,Spark Performance,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Alex,Bachoura,,"Houston, TX",USA,,,,,,,
17,84,11,2:28.926,+5.585,+0.773,132.3,11,Torre Racing,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Paolo,Salvatore,,"San Antonio, TX",USA,,,,,,,
18,82,11,2:30.690,+7.349,+1.764,130.7,11,McCumbee McAleer Racing,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Drew,Neubauer,Bronze,"Austin, TX",USA,,,,,,,
19,5,9,2:31.259,+7.918,+0.569,130.2,11,KOHR MOTORPORTS,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Rod,Randall MD,Bronze,"Tampa, FL",USA,,,,,,,
20,3,11,2:32.038,+8.697,+0.779,129.6,12,Spark Performance,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Frankie,Muniz,,"Wood-Ridge, NJ",USA,,,,,,,
21,10,10,2:32.565,+9.224,+0.527,129.1,11,NV Autosport,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Stephen,Vajda,Bronze,"Easton, PA",USA,,,,,,,
