POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,IMSA_CarId,IMSA_TeamId,IMSA_ClassId,IMSA_CarTypeId,IMSA_ManufacturerId,IMSA_TireId,IMSA_SponsorId,IMSA_EventEntryId,*Extra 9,*Extra 10,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_IMSA_DriverId,DRIVER_IMSA_DriverPlugId,DRIVER_IMSA_DriverRatingLong,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,13,3,2:22.721,-,-,138.0,10,Robert Noaker Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Robert,Noaker,,"Duncannon, PA",USA,,,,,,,
2,74,2,2:23.011,+0.290,+0.290,137.7,11,Robert Noaker Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Tyler,Maxson,Silver,"Bogart, GA",USA,,,,,,,
3,16,6,2:23.067,+0.346,+0.056,137.7,11,MDK Motorsports LLC,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Trenton,Estep,Silver,"San Antonio, TX",USA,,,,,,,
4,46,5,2:23.091,+0.370,+0.024,137.7,10,Precision Performance Motorsports,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Brandon,Gdovic,Silver,"Jupiter, FL",USA,,,,,,,
5,2,10,2:23.661,+0.940,+0.570,137.1,10,Max Opalski Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Maximilian,Opalski,Silver,"Conifer, CO",USA,,,,,,,
6,22,8,2:23.796,+1.075,+0.135,137.0,11,McCumbee McAleer Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Jeremy,Fletcher,,"St. Cloud, FL",USA,,,,,,,
7,31,4,2:23.813,+1.092,+0.017,137.0,13,Robert Noaker Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Reid,Sweeney,,"Saint Louis, MO",USA,,,,,,,
8,26,4,2:24.193,+1.472,+0.380,136.6,12,Southern Paley Motorsports LLC,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Sam,Paley,,"Villa Hills, KY",USA,,,,,,,
9,18,6,2:24.714,+1.993,+0.521,136.1,11,JV Racing Team,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Marcos,Vento,,"San Juan, PR",PRI,,,,,,,
10,48,2,2:26.042,+3.321,+1.328,134.9,10,McCumbee McAleer Racing,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Zachry,Lee,,"San Antonio, TX",USA,,,,,,,
11,52,6,2:26.270,+3.549,+0.228,134.7,11,KOHR MOTORSPORTS,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Christian,Bach,,"Orlando, FL",USA,,,,,,,
12,19,5,2:26.373,+3.652,+0.103,134.6,12,Skip Barber Racing,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Mike,Stillwagon,,Northport NY,USA,,,,,,,
13,47,6,2:26.464,+3.743,+0.091,134.5,12,Precision Performance Motorsports,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Wesley,Slimp,Silver,"Atlanta, GA",USA,,,,,,,
14,84,5,2:26.585,+3.864,+0.121,134.4,12,Torre Racing,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Paolo,Salvatore,,"San Antonio, TX",USA,,,,,,,
15,8,10,2:26.598,+3.877,+0.013,134.4,12,MDK Motorsports LLC,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Tom,Tait,Bronze,"Paradise Valley, AZ",USA,,,,,,,
16,33,2,2:26.906,+4.185,+0.308,134.1,11,Spark Performance,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Alex,Bachoura,,"Houston, TX",USA,,,,,,,
17,94,7,2:27.109,+4.388,+0.203,133.9,8,KOHR MOTORSPORTS,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,D.J.,Randall,,"Odessa, FL",USA,,,,,,,
18,3,7,2:28.988,+6.267,+1.879,132.2,12,Spark Performance,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Frankie,Muniz,,"Wood-Ridge, NJ",USA,,,,,,,
19,66,7,2:29.872,+7.151,+0.884,131.4,11,Leaders Credit Union Competition Motorsports,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Kel,Kearns,Bronze,"Memphis, TN",AUS,,,,,,,
20,82,11,2:29.898,+7.177,+0.026,131.4,12,McCumbee McAleer Racing,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Drew,Neubauer,Bronze,"Austin, TX",USA,,,,,,,
21,58,12,2:29.920,+7.199,+0.022,131.4,12,Nick Smither Racing,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Nicholas,Smither,,"Novi, MI",USA,,,,,,,
22,10,11,2:30.274,+7.553,+0.354,131.1,11,NV Autosport,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Stephen,Vajda,Bronze,"Easton, PA",USA,,,,,,,
23,14,10,2:30.361,+7.640,+0.087,131.0,11,Capaldi Racing,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,John,Strauss,,"Juno Beach, FL",USA,,,,,,,
24,5,10,2:30.987,+8.266,+0.626,130.5,11,KOHR MOTORPORTS,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Rod,Randall MD,Bronze,"Tampa, FL",USA,,,,,,,
25,73,11,2:32.690,+9.969,+1.703,129.0,11,Jack Lewis Enterprises,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Jack,Lewis,,Atlanta Georgia,USA,,,,,,,
26,30,10,2:32.784,+10.063,+0.094,128.9,11,LAP Motorsports,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Scott,Thomson,,"Sun Valley, ID",USA,,,,,,,
27,29,3,2:40.053,+17.332,+7.269,123.1,6,Robert Noaker Racing,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Mitch,Marvosh,,"Santa Barbara, CA",USA,,,,,,,
