POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,IMSA_CarId,IMSA_TeamId,IMSA_ClassId,IMSA_CarTypeId,IMSA_ManufacturerId,IMSA_TireId,IMSA_SponsorId,IMSA_EventEntryId,*Extra 9,*Extra 10,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_IMSA_DriverId,DRIVER_IMSA_DriverPlugId,DRIVER_IMSA_DriverRatingLong,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,16,Classified,16,46:18.474,-,-,3,2:22.597,138.1,MDK Motorsports LLC,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Trenton,Estep,Silver,"San Antonio, TX",USA,,,,,,,
2,13,Classified,16,46:19.539,+1.065,+1.065,4,2:22.411,138.3,Robert Noaker Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Robert,Noaker,,"Duncannon, PA",USA,,,,,,,
3,74,Classified,16,46:20.188,+1.714,+0.649,2,2:22.334,138.4,Robert Noaker Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Tyler,Maxson,Silver,"Bogart, GA",USA,,,,,,,
4,22,Classified,16,46:20.506,+2.032,+0.318,3,2:22.994,137.8,McCumbee McAleer Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Jeremy,Fletcher,,"St. Cloud, FL",USA,,,,,,,
5,31,Classified,16,46:21.556,+3.082,+1.050,3,2:23.268,137.5,Robert Noaker Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Reid,Sweeney,,"Saint Louis, MO",USA,,,,,,,
6,2,Classified,16,46:22.557,+4.083,+1.001,3,2:23.949,136.8,Max Opalski Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Maximilian,Opalski,Silver,"Conifer, CO",USA,,,,,,,
7,46,Classified,16,46:22.942,+4.468,+0.385,12,2:24.294,136.5,Precision Performance Motorsports,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Brandon,Gdovic,Silver,"Jupiter, FL",USA,,,,,,,
8,18,Classified,16,46:23.162,+4.688,+0.220,4,2:24.165,136.6,JV Racing Team,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Marcos,Vento,,"San Juan, PR",PRI,,,,,,,
9,48,Classified,16,46:24.934,+6.460,+1.772,4,2:24.652,136.2,McCumbee McAleer Racing,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Zachry,Lee,,"San Antonio, TX",USA,,,,,,,
10,94,Classified,16,46:26.246,+7.772,+1.312,9,2:26.948,134.0,KOHR MOTORSPORTS,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,D.J.,Randall,,"Odessa, FL",USA,,,,,,,
11,33,Classified,16,46:29.150,+10.676,+2.904,11,2:26.476,134.5,Spark Performance,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Alex,Bachoura,,"Houston, TX",USA,,,,,,,
12,3,Classified,16,46:30.401,+11.927,+1.251,4,2:27.308,133.7,Spark Performance,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Frankie,Muniz,,"Wood-Ridge, NJ",USA,,,,,,,
13,19,Classified,16,46:31.049,+12.575,+0.648,10,2:26.428,134.5,Skip Barber Racing,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Mike,Stillwagon,,Northport NY,USA,,,,,,,
14,10,Classified,16,46:37.240,+18.766,+6.191,11,2:27.720,133.3,NV Autosport,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Stephen,Vajda,Bronze,"Easton, PA",USA,,,,,,,
15,58,Classified,16,46:40.229,+21.755,+2.989,11,2:28.375,132.8,Nick Smither Racing,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Nicholas,Smither,,"Novi, MI",USA,,,,,,,
16,82,Classified,16,46:42.130,+23.656,+1.901,10,2:28.490,132.7,McCumbee McAleer Racing,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Drew,Neubauer,Bronze,"Austin, TX",USA,,,,,,,
17,30,Classified,16,46:43.166,+24.692,+1.036,10,2:30.396,131.0,LAP Motorsports,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Scott,Thomson,,"Sun Valley, ID",USA,,,,,,,
18,14,Classified,16,46:44.438,+25.964,+1.272,3,2:29.588,131.7,Capaldi Racing,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,John,Strauss,,"Juno Beach, FL",USA,,,,,,,
19,8,Classified,14,39:40.643,2 Laps,2 Laps,2,2:28.076,133.0,MDK Motorsports LLC,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Tom,Tait,Bronze,"Paradise Valley, AZ",USA,,,,,,,
20,66,Classified,14,40:11.221,2 Laps,+30.578,3,2:28.934,132.3,Leaders Credit Union Competition Motorsports,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Kel,Kearns,Bronze,"Memphis, TN",AUS,,,,,,,
21,26,Classified,11,30:30.019,5 Laps,3 Laps,3,2:23.843,136.9,Southern Paley Motorsports LLC,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Sam,Paley,,"Villa Hills, KY",USA,,,,,,,
