POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,IMSA_CarId,IMSA_TeamId,IMSA_ClassId,IMSA_CarTypeId,IMSA_ManufacturerId,IMSA_TireId,IMSA_SponsorId,IMSA_EventEntryId,*Extra 9,*Extra 10,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_IMSA_DriverId,DRIVER_IMSA_DriverPlugId,DRIVER_IMSA_DriverRatingLong,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,13,Classified,18,46:57.141,-,-,7,2:20.762,139.9,Robert Noaker Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Robert,Noaker,,"Duncannon, PA",USA,,,,,,,
2,22,Classified,18,46:58.059,+0.918,+0.918,4,2:20.675,140.0,McCumbee McAleer Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Jeremy,Fletcher,,"St. Cloud, FL",USA,,,,,,,
3,16,Classified,18,47:00.222,+3.081,+2.163,16,2:21.432,139.3,MDK Motorsports LLC,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Trenton,Estep,Silver,"San Antonio, TX",USA,,,,,,,
4,31,Classified,18,47:02.531,+5.390,+2.309,4,2:21.237,139.5,Robert Noaker Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Reid,Sweeney,,"Saint Louis, MO",USA,,,,,,,
5,2,Classified,18,47:04.844,+7.703,+2.313,2,2:22.126,138.6,Max Opalski Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Maximilian,Opalski,Silver,"Conifer, CO",USA,,,,,,,
6,18,Classified,18,47:05.146,+8.005,+0.302,2,2:22.559,138.2,JV Racing Team,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Marcos,Vento,,"San Juan, PR",PRI,,,,,,,
7,48,Classified,18,47:09.260,+12.119,+4.114,4,2:22.730,138.0,McCumbee McAleer Racing,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Zachry,Lee,,"San Antonio, TX",USA,,,,,,,
8,74,Classified,18,47:12.123,+14.982,+2.863,4,2:21.738,139.0,Robert Noaker Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Tyler,Maxson,Silver,"Bogart, GA",USA,,,,,,,
9,94,Classified,18,47:15.748,+18.607,+3.625,3,2:23.743,137.0,KOHR MOTORSPORTS,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,D.J.,Randall,,"Odessa, FL",USA,,,,,,,
10,33,Classified,18,47:17.477,+20.336,+1.729,2,2:23.429,137.3,Spark Performance,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Alex,Bachoura,,"Houston, TX",USA,,,,,,,
11,52,Classified,18,47:17.746,+20.605,+0.269,11,2:25.020,135.8,KOHR MOTORSPORTS,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Christian,Bach,,"Orlando, FL",USA,,,,,,,
12,19,Classified,18,47:18.481,+21.340,+0.735,3,2:23.871,136.9,Skip Barber Racing,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Mike,Stillwagon,,Northport NY,USA,,,,,,,
13,84,Classified,18,47:26.947,+29.806,+8.466,8,2:25.898,135.0,Torre Racing,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Paolo,Salvatore,,"San Antonio, TX",USA,,,,,,,
14,82,Classified,18,47:29.052,+31.911,+2.105,16,2:26.727,134.3,McCumbee McAleer Racing,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Drew,Neubauer,Bronze,"Austin, TX",USA,,,,,,,
15,5,Classified,18,47:30.542,+33.401,+1.490,2,2:25.955,135.0,KOHR MOTORSPORTS,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Rod,Randall MD,Bronze,"Tampa, FL",USA,,,,,,,
16,14,Classified,18,47:37.466,+40.325,+6.924,11,2:27.365,133.7,Capaldi Racing,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,John,Strauss,,"Juno Beach, FL",USA,,,,,,,
17,58,Classified,18,47:37.744,+40.603,+0.278,10,2:26.531,134.4,Nick Smither Racing,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Nicholas,Smither,,"Novi, MI",USA,,,,,,,
18,66,Classified,18,47:39.850,+42.709,+2.106,16,2:27.582,133.5,Leaders Credit Union Competition Motorsports,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Kel,Kearns,Bronze,"Memphis, TN",AUS,,,,,,,
19,30,Classified,18,47:40.707,+43.566,+0.857,10,2:27.054,134.0,LAP Motorsports,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Scott,Thomson,,"Sun Valley, ID",USA,,,,,,,
20,29,Classified,18,47:55.489,+58.348,+14.782,11,2:28.891,132.3,Robert Noaker Racing,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Mitch,Marvosh,,"Santa Barbara, CA",USA,,,,,,,
21,8,Classified,18,47:57.055,+59.914,+1.566,3,2:27.301,133.7,MDK Motorsports LLC,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Tom,Tait,Bronze,"Paradise Valley, AZ",USA,,,,,,,
22,46,Classified,14,37:37.776,4 Laps,4 Laps,3,2:21.966,138.8,Precision Performance Motorsports,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Brandon,Gdovic,Silver,"Jupiter, FL",USA,,,,,,,
23,47,Classified,14,37:39.176,4 Laps,+1.400,3,2:24.519,136.3,Precision Performance Motorsports,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Wesley,Slimp,Silver,"Atlanta, GA",USA,,,,,,,
24,26,Classified,14,40:19.714,4 Laps,+2:40.538,4,2:21.250,139.5,Southern Paley Motorsports LLC,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Sam,Paley,,"Villa Hills, KY",USA,,,,,,,
25,10,Classified,3,7:38.119,15 Laps,11 Laps,2,2:27.270,133.8,NV Autosport,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Stephen,Vajda,Bronze,"Easton, PA",USA,,,,,,,
,3,Not started,0,,,,0,,,Spark Performance,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Frankie,Muniz,,"Wood-Ridge, NJ",USA,,,,,,,
,73,Not started,0,,,,0,,,Jack Lewis Enterprises,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Jack,Lewis,,Atlanta Georgia,USA,,,,,,,
