POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,16,Classified,14,30:24.067,-,-,11,1:51.300,169.6,Martinet by Alméras,Pro,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Mathys,JAUBERT,,,FRA,,,,,,,
2,11,Classified,14,30:24.455,+0.388,+0.388,12,1:51.280,169.7,Schumacher CLRT,Pro,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Alessandro,GHIRETTI,,,FRA,,,,,,,
3,99,Classified,14,30:26.256,+2.189,+1.801,11,1:51.562,169.3,Schumacher CLRT,Pro,R,,Porsche 911 GT3 Cup,,,,,,,,,,,,Marcus,AMAND,,,FRA,,,,,,,
4,17,Classified,14,30:30.157,+6.090,+3.901,14,1:51.853,168.8,Martinet by Alméras,Pro,R,,Porsche 911 GT3 Cup,,,,,,,,,,,,Victor,BERNIER,,,FRA,,,,,,,
5,2,Classified,14,30:33.437,+9.370,+3.280,11,1:52.243,168.2,TFT Racing,Pro,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Benjamin,PAQUE,,,BEL,,,,,,,
6,74,Classified,14,30:33.636,+9.569,+0.199,13,1:52.020,168.6,ABM,Pro,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Florian,LATORRE,,,FRA,,,,,,,
7,27,Classified,14,30:35.401,+11.334,+1.765,13,1:51.896,168.7,Martinet/Forestier Racing,Pro,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Francesco,BRASCHI,,,ITA,,,,,,,
8,29,Classified,14,30:37.177,+13.110,+1.776,10,1:52.044,168.5,Martinet/Forestier Racing,Pro,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Louis,ROUSSET,,,FRA,,,,,,,
9,14,Classified,14,30:39.234,+15.167,+2.057,13,1:52.328,168.1,Martinet by Alméras,Pro,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Gianmarco,QUARESMINI,,,ITA,,,,,,,
10,21,Classified,14,30:44.042,+19.975,+4.808,13,1:52.367,168.0,ABM,Pro-Am,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Marc,GUILLOT,,,FRA,,,,,,,
11,7,Classified,14,30:45.802,+21.735,+1.760,12,1:52.507,167.8,Racing Technology,Pro-Am,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Jérôme,BOULLERY,,,FRA,,,,,,,
12,33,Classified,14,30:51.943,+27.876,+6.141,13,1:52.316,168.1,CLRT Schumacher,Pro,R,,Porsche 911 GT3 Cup,,,,,,,,,,,,Paul,CAUHAUPE,,,FRA,,,,,,,
13,66,Classified,14,30:55.539,+31.472,+3.596,14,1:53.412,166.5,ABM,Pro-Am,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Sébastien,POISSON,,,FRA,,,,,,,
14,44,Classified,14,31:04.696,+40.629,+9.157,11,1:54.326,165.2,Racing Technology,Am,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Cyril,CAILLO,,,FRA,,,,,,,
15,67,Classified,14,31:04.874,+40.807,+0.178,11,1:54.169,165.4,TFT Racing,Am,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Jordan,BOISSON,,,FRA,,,,,,,
16,81,Classified,14,31:05.104,+41.037,+0.230,8,1:54.988,164.2,Debard Automobiles by Racetivity,Am,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Eric,DEBARD,,,FRA,,,,,,,
17,88,Classified,14,31:19.232,+55.165,+14.128,14,1:53.630,166.2,Schumacher CLRT,Am,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Jean-Philippe,GAMBARO,,,FRA,,,,,,,
,77,Not classified,2,5:19.009,,,2,2:37.863,119.6,CLRT Schumacher,Pro,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Louis,PERROT,,,FRA,,,,,,,
,5,Not started,0,,,,0,,,TFT Racing,Am,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Patrick,CHARLAIX,,,CAN,,,,,,,
