POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,11,Classified,15,31:15.101,-,-,14,1:44.629,160.1,CLRT,Pro,,,,,,,,,,,,,,,Florian,LATORRE,S,,FRA,,,,,,,
2,22,Classified,15,31:22.040,+6.939,+6.939,10,1:45.046,159.5,Martinet by Alméras,Pro / R,,,,,,,,,,,,,,,Alessandro,GHIRETTI,S,,FRA,,,,,,,
3,36,Classified,15,31:26.543,+11.442,+4.503,13,1:45.728,158.4,Pierre Martinet by Alméras,Pro,,,,,,,,,,,,,,,Cooper,MURRAY,G,,AUS,,,,,,,
4,33,Classified,15,31:27.597,+12.496,+1.054,9,1:45.318,159.0,MRT by CLRT,Pro,,,,,,,,,,,,,,,Evan,SPENLE,S,,FRA,,,,,,,
5,12,Classified,15,31:27.791,+12.690,+0.194,11,1:45.716,158.5,Ombra Racing,Pro,,,,,,,,,,,,,,,Gianmarco,QUARESMINI,S,,ITA,,,,,,,
6,1,Classified,15,31:28.188,+13.087,+0.397,14,1:45.686,158.5,BWT Lechner Racing,Pro,,,,,,,,,,,,,,,Jean-Baptiste,SIMMENAUER,S,,FRA,,,,,,,
7,74,Classified,15,31:29.781,+14.680,+1.593,14,1:45.956,158.1,ABM,Pro,,,,,,,,,,,,,,,Victor,BLUGEON,S,,FRA,,,,,,,
8,87,Classified,15,31:30.383,+15.282,+0.602,13,1:45.625,158.6,BWT Lechner Racing,Pro,,,,,,,,,,,,,,,Richard,WAGNER,S,,DEU,,,,,,,
9,55,Classified,15,31:38.222,+23.121,+7.839,11,1:46.418,157.4,BWT Lechner Racing,Pro-Am,,,,,,,,,,,,,,,Nicolas,MISSLIN,S,,MCO,,,,,,,
10,7,Classified,15,31:38.237,+23.136,+0.015,10,1:46.493,157.3,YDEO by Racing Technology,Pro-Am,,,,,,,,,,,,,,,Jérôme,BOULLERY,S,,FRA,,,,,,,
11,73,Classified,15,31:38.800,+23.699,+0.563,11,1:46.531,157.2,ABM,Am,,,,,,,,,,,,,,,Sébastien,DUSSOLLIET,R,,FRA,,,,,,,
12,76,Classified,15,31:40.232,+25.131,+1.432,11,1:46.556,157.2,IMSA Performance,Pro-Am,,,,,,,,,,,,,,,Raymond,NARAC,S,,FRA,,,,,,,
13,135,Classified,15,31:42.242,+27.141,+2.010,11,1:46.470,157.3,YDEO Compétition,Pro / R,,,,,,,,,,,,,,,Thomas,FRETIN,S,,FRA,,,,,,,
14,911,Classified,15,31:37.249,+27.148,+0.007,11,1:46.377,157.5,Pierre Martinet by Alméras,Pro-Am,,,,,,,,,,,,,,,Christophe,LAPIERRE,S,,FRA,,,,,,,
15,3,Classified,15,31:43.086,+27.985,+0.837,12,1:45.925,158.1,MRT by CLRT,Pro / R,,,,,,,,,,,,,,,Milan,PETELET,S,,FRA,,,,,,,
16,59,Classified,15,31:45.361,+30.260,+2.275,10,1:46.536,157.2,IMSA Performance,Am,,,,,,,,,,,,,,,Maxence,MAURICE,S,,FRA,,,,,,,
17,53,Classified,15,31:50.108,+35.007,+4.747,12,1:46.491,157.3,Spark by Racing Technology,Pro / R,,,,,,,,,,,,,,,Arthur,MATHIEU,S,,FRA,,,,,,,
18,77,Classified,15,32:15.516,+1:00.415,+25.408,8,1:47.051,156.5,CLRT,Am,,,,,,,,,,,,,,,Tugdual,RABREAU,S,,FRA,,,,,,,
19,44,Classified,15,32:21.898,+1:06.797,+6.382,10,1:46.824,156.8,CLRT,Am,,,,,,,,,,,,,,,Franck,LEHERPEUR,S,,FRA,,,,,,,
20,35,Classified,15,32:34.470,+1:19.369,+12.572,9,1:49.239,153.3,YDEO Compétition,Am,,,,,,,,,,,,,,,Benoit,FRETIN,S,,FRA,,,,,,,
,99,Not classified,0,,,,0,,,CLRT,Pro,,,,,,,,,,,,,,,Marvin,KLEIN,S,,FRA,,,,,,,
,19,Not classified,0,,,,0,,,Martinet by Alméras,Pro / R,,,,,,,,,,,,,,,Dorian,BOCCOLACCI,S,,FRA,,,,,,,
,16,Not classified,0,,,,0,,,Pierre Martinet by Alméras,Pro / R,,,,,,,,,,,,,,,Ugo,GAZIL,S,,FRA,,,,,,,
