POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,27,5,1:52.218,-,-,149.3,9,HERRERO RACING,J,,,,,,,,,,,,,,,Ugo,DE WILDE,,,BEL,,,,,,,
2,8,11,1:52.287,+0.069,+0.069,149.2,11,AUTOSPORT GP,J,,,,,,,,,,,,,,,Simon,TIRMAN,,,FRA,,,,,,,
3,1,4,1:52.367,+0.149,+0.080,149.1,11,AUTOSPORT GP,,,,,,,,,,,,,,,,Jean-Baptiste,MELA,,,FRA,,,,,,,
4,69,6,1:52.433,+0.215,+0.066,149.0,11,LSGROUP AUTOSPORT GP,,,,,,,,,,,,,,,,Laurent,HURGON,,,FRA,,,,,,,
5,44,5,1:52.514,+0.296,+0.081,148.9,11,PATRICK ROGER AUTOSPORT GP,J,,,,,,,,,,,,,,,Lilou,WADOUX,,,FRA,,,,,,,
6,11,5,1:52.949,+0.731,+0.435,148.3,9,HERRERO RACING,J,,,,,,,,,,,,,,,Corentin,TIERCE,,,FRA,,,,,,,
7,63,5,1:53.523,+1.305,+0.574,147.6,7,HERRERO RACING,G,,,,,,,,,,,,,,,Stéphane,AURIACOMBE,,,FRA,,,,,,,
8,41,4,1:54.022,+1.804,+0.499,146.9,11,RACE CARS CONSULTING,G,,,,,,,,,,,,,,,Anthony,FOURNIER,,,FRA,,,,,,,
9,3,11,1:54.068,+1.850,+0.046,146.8,11,CHAZEL TECHNOLOGIE COURSE,,,,,,,,,,,,,,,,Gosia,RDEST,,,POL,,,,,,,
10,110,11,1:54.761,+2.543,+0.693,146.0,11,CHAZEL TECHNOLOGIE COURSE,G,VIP,,,,,,,,,,,,,,Philippe,QUETAUD,,,FRA,,,,,,,
11,9,7,1:54.896,+2.678,+0.135,145.8,11,CHAZEL TECHNOLOGIE COURSE,G,,,,,,,,,,,,,,,Philippe,BOURGOIS,,,BEL,,,,,,,
12,14,5,1:55.221,+3.003,+0.325,145.4,11,CHAZEL TECHNOLOGIE COURSE,G,,,,,,,,,,,,,,,Jean-Paul,DOMINICI,,,FRA,,,,,,,
13,23,5,1:55.887,+3.669,+0.666,144.5,10,HERRERO RACING,G,,,,,,,,,,,,,,,Laurent,RICHARD,,,FRA,,,,,,,
14,33,9,1:56.509,+4.291,+0.622,143.8,9,AUTOSPORT GP,G,,,,,,,,,,,,,,,Grégory,ROMANO,,,MCO,,,,,,,
15,18,5,1:56.809,+4.591,+0.300,143.4,7,PATRICK ROGER AUTOSPORT GP,G,,,,,,,,,,,,,,,Pierre,MACCHI,,,FRA,,,,,,,
16,7,2,1:58.743,+6.525,+1.934,141.1,10,HERRERO RACING,G,,,,,,,,,,,,,,,Franc,ROUXEL,,,FRA,,,,,,,
17,31,0,,,,,11,RACE CARS CONSULTING,J,,,,,,,,,,,,,,,Louis,MÉRIC,,,FRA,,,,,,,
