POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,99,10,1:41.511,-,-,161.8,12,seven x seven Racing,Pro,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Taichi,WATARAI,,,JPN,,,,,,,
2,78,13,1:41.558,+0.047,+0.047,161.7,13,SKY RACING,Pro,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Iori,KIMURA,,,JPN,,,,,,,
3,60,10,1:41.753,+0.242,+0.195,161.4,13,BINGO RACING,Pro,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Reimei,ITOU,,,JPN,,,,,,,
4,7,10,1:41.960,+0.449,+0.207,161.1,11,HYPER WATER RACING,Pro,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Kazuhisa,URABE,,,JPN,,,,,,,
5,91,12,1:42.321,+0.810,+0.361,160.5,14,PORSCHE JAPAN,Pro,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Itsuki,SATO,,,JPN,,,,,,,
6,66,13,1:42.655,+1.144,+0.334,160.0,14,seven x seven Racing,ProAm,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,,BANKCY,,,JPN,,,,,,,
7,10,13,1:43.259,+1.748,+0.604,159.1,14,Rn-sports,ProAm,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,,MOTOKI,,,JPN,,,,,,,
8,16,14,1:43.396,+1.885,+0.137,158.9,16,NGR,Am,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,,HIRO,,,JPN,,,,,,,
9,98,14,1:43.405,+1.894,+0.009,158.9,15,Bionic Jack Racing,ProAm,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,,IKARI,,,JPN,,,,,,,
10,88,15,1:43.488,+1.977,+0.083,158.7,15,BINGO RACING,ProAm,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Tiger,WU,,,TWN,,,,,,,
11,77,11,1:43.599,+2.088,+0.111,158.6,15,Masaru HAMASAKI,ProAm,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Masaru,HAMASAKI,,,JPN,,,,,,,
12,17,6,1:43.870,+2.359,+0.271,158.1,13,HYPER WATER RACING,Am,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,,IKEDA,,,JPN,,,,,,,
13,36,15,1:45.794,+4.283,+1.924,155.3,16,SKY MOTORSPORTS,Am,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Sky,CHEN,,,HKG,,,,,,,
