POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,99,Classified,15,25:41.728,-,-,11,1:42.349,160.5,seven x seven Racing,Pro,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Taichi,WATARAI,,,JPN,,,,,,,
2,60,Classified,15,25:48.127,+6.399,+6.399,7,1:42.536,160.2,BINGO RACING,Pro,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Reimei,ITOU,,,JPN,,,,,,,
3,78,Classified,15,25:58.003,+16.275,+9.876,12,1:42.630,160.1,SKY RACING,Pro,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Iori,KIMURA,,,JPN,,,,,,,
4,66,Classified,15,26:01.270,+19.542,+3.267,6,1:43.126,159.3,seven x seven Racing,ProAm,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,,BANKCY,,,JPN,,,,,,,
5,91,Classified,15,26:01.752,+20.024,+0.482,5,1:43.407,158.9,PORSCHE JAPAN,Pro,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Itsuki,SATO,,,JPN,,,,,,,
6,10,Classified,15,26:15.084,+33.356,+13.332,6,1:43.939,158.0,Rn-sports,ProAm,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,,MOTOKI,,,JPN,,,,,,,
7,77,Classified,15,26:20.080,+38.352,+4.996,12,1:44.374,157.4,Masaru HAMASAKI,ProAm,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Masaru,HAMASAKI,,,JPN,,,,,,,
8,7,Classified,15,26:26.489,+44.761,+6.409,2,1:43.067,159.4,HYPER WATER RACING,Pro,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Kazuhisa,URABE,,,JPN,,,,,,,
9,98,Classified,15,26:26.696,+44.968,+0.207,7,1:44.163,157.7,Bionic Jack Racing,ProAm,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,,IKARI,,,JPN,,,,,,,
10,16,Classified,15,26:40.495,+58.767,+13.799,5,1:44.092,157.8,NGR,Am,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,,HIRO,,,JPN,,,,,,,
11,17,Classified,15,26:41.530,+59.802,+1.035,5,1:44.189,157.7,HYPER WATER RACING,Am,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,,IKEDA,,,JPN,,,,,,,
12,36,Classified,15,26:51.012,+1:09.284,+9.482,5,1:46.363,154.4,SKY MOTORSPORTS,Am,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Sky,CHEN,,,HKG,,,,,,,
13,88,Classified,12,20:58.864,3 Laps,3 Laps,7,1:43.937,158.0,BINGO RACING,ProAm,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Tiger,WU,,,TWN,,,,,,,
