POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,2,5,2:52.423,-,-,146.2,9,Garage Terriou,FC1,,,Porsche 911,,,,,,,,,,,,,TERRIOU,,,FRA,,,,,,,
2,92,8,2:53.025,+0.602,+0.602,145.7,8,Swiss Wheels Swappers,FC1,,,Porsche 964 RS,,,,,,,,,,,,,TORRES,,,SUI,,,,,,,
3,30,7,2:54.442,+2.019,+1.417,144.5,7,GT Ride - Legendary Racing,FC1,,,Porsche 964 RSR,,,,,,,,,,,,,GARRET,,,FRA,,,,,,,
4,12,8,2:57.995,+5.572,+3.553,141.7,8,Racing12 Project,FC2,,,Porsche 911 3.2 l,,,,,,,,,,,,,EHRHARDT,,,FRA,,,,,,,
5,44,7,3:01.793,+9.370,+3.798,138.7,8,Terriou Racing,FC2,,,Porsche 964 RS,,,,,,,,,,,,,CLESSE / L'EPLATTENIER,,,FRA,,,,,,,
6,75,8,3:02.402,+9.979,+0.609,138.2,8,Parisians Cars Racing Team,FC3/4,,,Porsche 911 SC,,,,,,,,,,,,,SERRES / PUECHAVY,,,FRA,,,,,,,
7,29,7,3:03.233,+10.810,+0.831,137.6,8,Vintage Motor Sport,FC1,,,Porsche 964 C2,,,,,,,,,,,,,DESMAELE,,,FRA,,,,,,,
8,23,8,3:03.533,+11.110,+0.300,137.4,8,GHC,FC2,,,Porsche 968 CS,,,,,,,,,,,,,LES,,,BEL,,,,,,,
9,93,7,3:03.925,+11.502,+0.392,137.1,7,MV Racing,FC2,,,Porsche 911 SC,,,,,,,,,,,,,DECULTOT / MATHON,,,FRA,,,,,,,
10,10,4,3:04.757,+12.334,+0.832,136.5,4,PLX Racing,FC1,,,Porsche 993 RSR,,,,,,,,,,,,,LACROIX,,,BEL,,,,,,,
11,76,4,3:06.291,+13.868,+1.534,135.3,5,JC Retro Racing,FC2,,,Porsche 968 CS,,,,,,,,,,,,,CARVALHEIRO,,,FRA,,,,,,,
12,5,8,3:06.715,+14.292,+0.424,135.0,8,Juracing Team,FC2,,,Porsche 911 2.8 RSR,,,,,,,,,,,,,RAMOUSSE,,,FRA,,,,,,,
13,11,8,3:07.498,+15.075,+0.783,134.5,8,AS Racing,FC1,,,Porsche 993 C2,,,,,,,,,,,,,SERRA,,,FRA,,,,,,,
14,1,8,3:07.567,+15.144,+0.069,134.4,8,Atelier Gobin,FC1,,,Porsche 964 C2,,,,,,,,,,,,,GAULT / FRADIN,,,FRA,,,,,,,
15,72,6,3:09.254,+16.831,+1.687,133.2,6,Hoche Avocats,FC3/4,,,Porsche 911 3.0 SC,,,,,,,,,,,,,MATHIEU,,,FRA,,,,,,,
16,89,4,3:09.573,+17.150,+0.319,133.0,8,Atelier Gobin,FC1,,,Porsche 911 3.2 l,,,,,,,,,,,,,DUVERNE,,,FRA,,,,,,,
17,68,4,3:09.854,+17.431,+0.281,132.8,5,Garage du Centre,FC2,,,Porsche 968,,,,,,,,,,,,,SALERNO,,,FRA,,,,,,,
18,73,4,3:10.738,+18.315,+0.884,132.2,8,CSP,FC2,,,Porsche 964 C2,,,,,,,,,,,,,LE FLEM / VIEREN,,,FRA,,,,,,,
19,24,7,3:12.108,+19.685,+1.370,131.2,8,Heritage Events Cars,FC1,,,Porsche 968 CS,,,,,,,,,,,,,BEECKMAN / DENIS,,,BEL,,,,,,,
20,22,8,3:12.257,+19.834,+0.149,131.1,8,BG-BC,FC3/4,,,Porsche 911 3.2 l,,,,,,,,,,,,,GAYER / PAULEN,,,FRA,,,,,,,
