POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,30,10,3:03.039,-,-,137.8,10,GT Ride - Legendary Racing,FC1,,,Porsche 964 RSR,,,,,,,,,,,,,GARRET,,,FRA,,,,,,,
2,92,8,3:08.794,+5.755,+5.755,133.6,9,Swiss Wheels Swappers,FC1,,,Porsche 964 RS,,,,,,,,,,,,,TORRES,,,SUI,,,,,,,
3,2,7,3:08.957,+5.918,+0.163,133.4,8,Garage Terriou,FC1,,,Porsche 911,,,,,,,,,,,,,TERRIOU,,,FRA,,,,,,,
4,12,9,3:08.991,+5.952,+0.034,133.4,9,Racing12 Project,FC2,,,Porsche 911 3.2 l,,,,,,,,,,,,,EHRHARDT,,,FRA,,,,,,,
5,1,8,3:10.671,+7.632,+1.680,132.2,8,Atelier Gobin,FC1,,,Porsche 964 C2,,,,,,,,,,,,,GAULT / FRADIN,,,FRA,,,,,,,
6,93,9,3:10.795,+7.756,+0.124,132.2,9,MV Racing,FC2,,,Porsche 911 SC,,,,,,,,,,,,,DECULTOT / MATHON,,,FRA,,,,,,,
7,29,8,3:14.698,+11.659,+3.903,129.5,8,Vintage Motor Sport,FC1,,,Porsche 964 C2,,,,,,,,,,,,,DESMAELE,,,FRA,,,,,,,
8,5,8,3:17.046,+14.007,+2.348,128.0,8,Juracing Team,FC2,,,Porsche 911 2.8 RSR,,,,,,,,,,,,,RAMOUSSE,,,FRA,,,,,,,
9,6,8,3:18.068,+15.029,+1.022,127.3,8,TRF Racing Team,FC1,,,Porsche 928,,,,,,,,,,,,,FERET,,,FRA,,,,,,,
10,22,9,3:18.192,+15.153,+0.124,127.2,9,BG-BC,FC3/4,,,Porsche 911 3.2 l,,,,,,,,,,,,,GAYER / PAULEN,,,FRA,,,,,,,
