POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,2,Classified,20,1:00:31.625,-,-,15,2:47.180,150.8,Garage Terriou,FC1,,,Porsche 911,,,,,,,,,,,,,TERRIOU,,,FRA,,,,,,,
2,92,Classified,20,1:02:20.802,+1:49.177,+1:49.177,4,2:51.418,147.1,Swiss Wheels Swappers,FC1,,,Porsche 964 RS,,,,,,,,,,,,,TORRES,,,SUI,,,,,,,
3,30,Classified,20,1:03:19.164,+2:47.539,+58.362,8,2:48.993,149.2,GT Ride - Legendary Racing,FC1,,,Porsche 964 RSR,,,,,,,,,,,,,GARRET,,,FRA,,,,,,,
4,56,Classified,19,1:01:05.420,1 Lap,1 Lap,19,2:57.028,142.4,Le Duigou Racing,FC1,,,Porsche 911 3.0 l RS,,,,,,,,,,,,,PREVEL,,,FRA,,,,,,,
5,29,Classified,19,1:01:08.942,1 Lap,+3.522,14,2:57.942,141.7,Vintage Motor Sport,FC1,,,Porsche 964 C2,,,,,,,,,,,,,DESMAELE,,,FRA,,,,,,,
6,93,Classified,19,1:01:16.549,1 Lap,+7.607,2,2:56.309,143.0,MV Racing,FC2,,,Porsche 911 SC,,,,,,,,,,,,,DECULTOT / MATHON,,,FRA,,,,,,,
7,12,Classified,19,1:01:20.483,1 Lap,+3.934,12,2:56.575,142.8,Racing12 Project,FC2,,,Porsche 911 3.2 l,,,,,,,,,,,,,EHRHARDT,,,FRA,,,,,,,
8,23,Classified,19,1:01:24.396,1 Lap,+3.913,8,3:00.313,139.8,GHC,FC2,,,Porsche 968 CS,,,,,,,,,,,,,LES,,,BEL,,,,,,,
9,1,Classified,19,1:01:34.422,1 Lap,+10.026,5,2:56.907,142.5,Atelier Gobin,FC1,,,Porsche 964 C2,,,,,,,,,,,,,GAULT / FRADIN,,,FRA,,,,,,,
10,6,Classified,19,1:01:40.088,1 Lap,+5.666,14,2:55.438,143.7,TRF Racing Team,FC1,,,Porsche 928,,,,,,,,,,,,,FERET,,,FRA,,,,,,,
11,5,Classified,19,1:01:57.832,1 Lap,+17.744,6,2:59.327,140.6,Juracing Team,FC2,,,Porsche 911 2.8 RSR,,,,,,,,,,,,,RAMOUSSE,,,FRA,,,,,,,
12,11,Classified,19,1:03:00.049,1 Lap,+1:02.217,8,3:00.352,139.8,AS Racing,FC1,,,Porsche 993 C2,,,,,,,,,,,,,SERRA,,,FRA,,,,,,,
13,22,Classified,18,1:00:16.950,2 Laps,1 Lap,6,2:59.501,140.5,BG-BC,FC3/4,,,Porsche 911 3.2 l,,,,,,,,,,,,,GAYER / PAULEN,,,FRA,,,,,,,
14,199,Classified,18,1:01:08.397,2 Laps,+51.447,11,3:04.175,136.9,JH Racing Team,FC2,,,Porsche 911 SC,,,,,,,,,,,,,HARDONNIERE,,,FRA,,,,,,,
15,132,Classified,18,1:01:23.404,2 Laps,+15.007,11,3:04.120,136.9,VP Racing,FC2,,,Porsche 911 3.2 l,,,,,,,,,,,,,PASQUIER,,,FRA,,,,,,,
