POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,13,3,4:21.271,-,-,187.7,5,Robert Noaker Racing,DH,,,Mustang Dark Horse R,,,,,,,,,,,,Robert,NOAKER,,,USA,,,,,,,
2,92,5,4:23.963,+2.692,+2.692,185.8,5,Ryan McLeod Racing Cars,DH,,,Mustang Dark Horse R,,,,,,,,,,,,Cameron,MCLEOD,,,AUS,,,,,,,
3,26,6,4:24.781,+3.510,+0.818,185.3,6,Paley Motorsport,DH,,,Mustang Dark Horse R,,,,,,,,,,,,Sam,PALEY,,,USA,,,,,,,
4,62,4,4:24.941,+3.670,+0.160,185.1,4,Academy Motorsport,DH,,,Mustang Dark Horse R,,,,,,,,,,,,Matt,NICOLL - JONES,,,GBR,,,,,,,
5,7,5,4:25.235,+3.964,+0.294,184.9,5,Robert Noaker Racing,DH,,,Mustang Dark Horse R,,,,,,,,,,,,Sandy,SATULLO,,,USA,,,,,,,
6,97,3,4:25.273,+4.002,+0.038,184.9,5,Academy Motorsport,DH,,,Mustang Dark Horse R,,,,,,,,,,,,Marco,SIGNORETTI,,,CAN,,,,,,,
7,38,5,4:26.379,+5.108,+1.106,184.1,6,Wall Racing,DH,,,Mustang Dark Horse R,,,,,,,,,,,,David,WALL,,,AUS,,,,,,,
8,34,4,4:26.641,+5.370,+0.262,184.0,5,Automatic Racing,DH,,,Mustang Dark Horse R,,,,,,,,,,,,Will,LUCAS,,,USA,,,,,,,
9,33,4,4:26.739,+5.468,+0.098,183.9,6,Spark Performance,DHL,,,Mustang Dark Horse R,,,,,,,,,,,,Alex,BACHOURA,,,USA,,,,,,,
10,15,6,4:27.497,+6.226,+0.758,183.4,6,TechSport Racing,DHL,,,Mustang Dark Horse R,,,,,,,,,,,,Alfonso,DIAZ,,,PUR,,,,,,,
11,23,4,4:27.756,+6.485,+0.259,183.2,6,TeamFloral,DH,,,Mustang Dark Horse R,,,,,,,,,,,,Jenson,ALTZMAN,,,USA,,,,,,,
12,29,5,4:27.873,+6.602,+0.117,183.1,5,Academy Motorsport,DH,,,Mustang Dark Horse R,,,,,,,,,,,,Erik,EVANS,,,USA,,,,,,,
13,95,4,4:28.683,+7.412,+0.810,182.6,6,TeamFloral,DH,,,Mustang Dark Horse R,,,,,,,,,,,,Nathan,VANSPRINGEL,,,BEL,,,,,,,
14,91,5,4:29.216,+7.945,+0.533,182.2,6,Robert Noaker Racing,DHL,,,Mustang Dark Horse R,,,,,,,,,,,,Dan,MCKEEVER,,,USA,,,,,,,
15,88,5,4:29.219,+7.948,+0.003,182.2,5,Creative Auto Sport,DHS,,,Mustang Dark Horse R,,,,,,,,,,,,Chelsea,DENOFA,,,USA,,,,,,,
16,1,4,4:29.258,+7.987,+0.039,182.2,5,Spark Performance,DHS,,,Mustang Dark Horse R,,,,,,,,,,,,Tanner,FOUST,,,USA,,,,,,,
17,21,3,4:30.383,+9.112,+1.125,181.4,5,TechSport Racing,DH,,,Mustang Dark Horse R,,,,,,,,,,,,Colin,HARRISON,,,USA,,,,,,,
18,133,4,4:32.160,+10.889,+1.777,180.2,5,TechSport Racing,DHS,,,Mustang Dark Horse R,,,,,,,,,,,,Frankie,MUNIZ,,,USA,,,,,,,
19,11,4,4:32.534,+11.263,+0.374,180.0,6,MotorCity Dark Horse Racing,DH,,,Mustang Dark Horse R,,,,,,,,,,,,Josh,HANSEN,,,USA,,,,,,,
20,77,5,4:32.681,+11.410,+0.147,179.9,5,Academy Motorsport,DHS,,,Mustang Dark Horse R,,,,,,,,,,,,Chris,HARRIS / HOY,,,GBR,,,,,,,
21,68,5,4:33.292,+12.021,+0.611,179.5,6,Creative Auto Sport,DHL,,,Mustang Dark Horse R,,,,,,,,,,,,Chip,VAN VURST,,,USA,,,,,,,
22,47,5,4:34.048,+12.777,+0.756,179.0,5,Wall Racing,DHL,,,Mustang Dark Horse R,,,,,,,,,,,,Tim,MILES,,,NZL,,,,,,,
23,98,4,4:34.498,+13.227,+0.450,178.7,6,Automatic Racing,DH,,,Mustang Dark Horse R,,,,,,,,,,,,Tate,PRITT,,,USA,,,,,,,
24,35,5,4:34.826,+13.555,+0.328,178.5,5,Team Anzac,DHL,,,Mustang Dark Horse R,,,,,,,,,,,,Andrew,MIEDECKE,,,AUS,,,,,,,
25,8,6,4:34.965,+13.694,+0.139,178.4,6,Competition Motors,DHL,,,Mustang Dark Horse R,,,,,,,,,,,,Tom,TAIT,,,USA,,,,,,,
26,30,5,4:36.328,+15.057,+1.363,177.5,5,LAP Motorsports,DHL,,,Mustang Dark Horse R,,,,,,,,,,,,Scott,THOMSON,,,USA,,,,,,,
27,79,6,4:36.443,+15.172,+0.115,177.4,6,NV Autosport - Gradient,DHL,,,Mustang Dark Horse R,,,,,,,,,,,,Drew,NEUBAUER,,,USA,,,,,,,
28,17,5,4:36.541,+15.270,+0.098,177.4,6,Competition Motors,DHS,,,Mustang Dark Horse R,,,,,,,,,,,,Jim,FARLEY,,,USA,,,,,,,
29,63,6,4:36.679,+15.408,+0.138,177.3,6,Robert Noaker Racing,DHL,,,Mustang Dark Horse R,,,,,,,,,,,,Joseph,DEDERICHS,,,USA,,,,,,,
30,37,6,4:37.524,+16.253,+0.845,176.8,6,LAP Motorsports,DHL,,,Mustang Dark Horse R,,,,,,,,,,,,Bruce,MYREHN,,,USA,,,,,,,
31,9,5,4:37.834,+16.563,+0.310,176.6,6,Ryan McLeod Racing Cars,DHL,,,Mustang Dark Horse R,,,,,,,,,,,,Hadrian,MORRALL,,,AUS,,,,,,,
32,72,6,4:38.573,+17.302,+0.739,176.1,6,TechTrak,DHL,,,Mustang Dark Horse R,,,,,,,,,,,,Adam,BALON,,,GBR,,,,,,,
33,58,4,4:40.871,+19.600,+2.298,174.6,5,Nick Smither Racing,DHL,,,Mustang Dark Horse R,,,,,,,,,,,,Nicholas,SMITHER,,,GBR,,,,,,,
34,87,5,4:42.148,+20.877,+1.277,173.9,6,Peterson Racing,DH,,,Mustang Dark Horse R,,,,,,,,,,,,Doug,PETERSON,,,USA,,,,,,,
35,16,4,4:42.531,+21.260,+0.383,173.6,4,Academy Motorsport,DHL,,,Mustang Dark Horse R,,,,,,,,,,,,Steve,DENTON,,,USA,,,,,,,
36,191,5,4:43.736,+22.465,+1.205,172.9,5,Ryan McLeod Racing Cars,DHL,,,Mustang Dark Horse R,,,,,,,,,,,,Keith,KASSULKE,,,AUS,,,,,,,
37,10,0,,,,,5,NV Autosport - Gradient,DHL,,,Mustang Dark Horse R,,,,,,,,,,,,Stephen,VAJDA,,,USA,,,,,,,
38,27,0,,,,,0,Competition Motors,DHL,,,Mustang Dark Horse R,,,,,,,,,,,,Tom,MCGLYNN,,,USA,,,,,,,
39,101,0,,,,,2,Keltic Racing,DHL,,,Mustang Dark Horse R,,,,,,,,,,,,Anthony,QUINN,,,AUS,,,,,,,
