POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,92,Classified,8,36:10.352,-,-,2,4:20.938,188.0,Ryan McLeod Racing Cars,DH,,,Mustang Dark Horse R,,,,,,,,,,,,Cameron,MCLEOD,,,AUS,,,,,,,
2,26,Classified,8,36:15.905,+5.553,+5.553,2,4:21.907,187.3,Paley Motorsport,DH,,,Mustang Dark Horse R,,,,,,,,,,,,Sam,PALEY,,,USA,,,,,,,
3,97,Classified,8,36:18.640,+8.288,+2.735,2,4:22.363,187.0,Academy Motorsport,DH,,,Mustang Dark Horse R,,,,,,,,,,,,Marco,SIGNORETTI,,,CAN,,,,,,,
4,62,Classified,8,36:18.962,+8.610,+0.322,2,4:22.062,187.2,Academy Motorsport,DH,,,Mustang Dark Horse R,,,,,,,,,,,,Matt,NICOLL - JONES,,,GBR,,,,,,,
5,23,Classified,8,36:23.509,+13.157,+4.547,7,4:22.878,186.6,TeamFloral,DH,,,Mustang Dark Horse R,,,,,,,,,,,,Jenson,ALTZMAN,,,USA,,,,,,,
6,38,Classified,8,36:24.298,+13.946,+0.789,7,4:22.460,186.9,Wall Racing,DH,,,Mustang Dark Horse R,,,,,,,,,,,,David,WALL,,,AUS,,,,,,,
7,13,Classified,8,36:25.545,+15.193,+1.247,7,4:21.167,187.8,Robert Noaker Racing,DH,,,Mustang Dark Horse R,,,,,,,,,,,,Robert,NOAKER,,,USA,,,,,,,
8,34,Classified,8,36:28.870,+18.518,+3.325,2,4:23.689,186.0,Automatic Racing,DH,,,Mustang Dark Horse R,,,,,,,,,,,,Will,LUCAS,,,USA,,,,,,,
9,33,Classified,8,36:39.266,+28.914,+10.396,5,4:24.924,185.2,Spark Performance,DHL,,,Mustang Dark Horse R,,,,,,,,,,,,Alex,BACHOURA,,,USA,,,,,,,
10,7,Classified,8,36:43.381,+33.029,+4.115,7,4:24.505,185.5,Robert Noaker Racing,DH,,,Mustang Dark Horse R,,,,,,,,,,,,Sandy,SATULLO,,,USA,,,,,,,
11,95,Classified,8,36:43.950,+33.598,+0.569,5,4:24.987,185.1,TeamFloral,DH,,,Mustang Dark Horse R,,,,,,,,,,,,Nathan,VANSPRINGEL,,,BEL,,,,,,,
12,91,Classified,8,36:44.619,+34.267,+0.669,5,4:25.011,185.1,Robert Noaker Racing,DHL,,,Mustang Dark Horse R,,,,,,,,,,,,Dan,MCKEEVER,,,USA,,,,,,,
13,88,Classified,8,36:49.571,+39.219,+4.952,7,4:25.657,184.7,Creative Auto Sport,DHS,,,Mustang Dark Horse R,,,,,,,,,,,,Chelsea,DENOFA,,,USA,,,,,,,
14,98,Classified,8,36:51.471,+41.119,+1.900,7,4:24.887,185.2,Automatic Racing,DH,,,Mustang Dark Horse R,,,,,,,,,,,,Tate,PRITT,,,USA,,,,,,,
15,15,Classified,8,36:59.734,+49.382,+8.263,6,4:26.569,184.0,TechSport Racing,DHL,,,Mustang Dark Horse R,,,,,,,,,,,,Alfonso,DIAZ,,,PUR,,,,,,,
