POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,94,Classified,15,30:45.907,-,-,7,1:46.256,157.6,AF Motorsport,PROAM,991.2,,Porsche 911 GT3 Cup - 991.2,,,,,,,,,,,,Dylan,PEREIRA,,,,,,,,,,
2,89,Classified,15,30:49.978,+4.071,+4.071,7,1:47.080,156.4,Pedro Salvador,PROAM,991.2,,Porsche 911 GT3 Cup - 991.2,,,,,,,,,,,,Pedro,SALVADOR,,,,,,,,,,
3,62,Classified,15,30:55.844,+9.937,+5.866,7,1:47.116,156.4,Veloso Motorsport,PROAM,991.2,,Porsche 911 GT3 Cup - 991.2,,,,,,,,,,,,Francisco,MORA,,,,,,,,,,
4,68,Classified,15,31:05.621,+19.714,+9.777,7,1:47.714,155.5,LOB - Motorsport,PROAM,991.2,,Porsche 911 GT3 Cup - 991.2,,,,,,,,,,,,Manuel,ALVES,,,,,,,,,,
5,97,Classified,15,31:13.283,+27.376,+7.662,2,1:48.088,155.0,LOB - Motorsport,PROAM,991.2,,Porsche 911 GT3 Cup - 991.2,,,,,,,,,,,,Vasco,BARROS,,,,,,,,,,
6,79,Classified,15,31:28.525,+42.618,+15.242,7,1:50.179,152.0,Veloso Motorsport,AM,991.2,,Porsche 911 GT3 Cup - 991.2,,,,,,,,,,,,José,BARROS,,,,,,,,,,
7,90,Classified,15,31:47.590,+1:01.683,+19.065,7,1:51.226,150.6,Monteiros Competições,AM,991.2,,Porsche 911 GT3 Cup - 991.2,,,,,,,,,,,,Ricardo,COSTA,,,,,,,,,,
8,66A,Classified,15,31:52.437,+1:06.530,+4.847,8,1:52.112,149.4,Veloso Motorsport,GD,991.2,,Porsche 911 GT3 Cup - 991.2,,,,,,,,,,,,João,POSSER,,,,,,,,,,
9,74,Classified,15,31:52.733,+1:06.826,+0.296,9,1:50.847,151.1,Ian Barret,AM,991.2,,Porsche 911 GT3 Cup - 991.2,,,,,,,,,,,,Ian,BARRET,,,,,,,,,,
10,82,Classified,15,31:53.474,+1:07.567,+0.741,8,1:50.516,151.6,AF Motorsport,AM,991.2,,Porsche 911 GT3 Cup - 997.2,,,,,,,,,,,,André,FERNANDES,,,,,,,,,,
11,77,Classified,15,32:11.893,+1:25.986,+18.419,8,1:50.606,151.4,Racar Motorsport,AM,991.2,,Porsche 911 GT3 Cup - 991.2,,,,,,,,,,,,Leandro,MARTINS,,,,,,,,,,
12,42,Classified,15,32:21.830,+1:35.923,+9.937,8,1:53.752,147.3,Jorge Brioso,AM,991.1,,Porsche 911 GT3 Cup - 991.1,,,,,,,,,,,,Jorge,BRIOSO,,,,,,,,,,
13,88,Classified,15,32:23.069,+1:37.162,+1.239,9,1:52.984,148.3,RGB RACING TEAM,AM,991.2,,Porsche 911 GT3 Cup - 991.2,,,,,,,,,,,,Jorge,RAMIREZ,,,,,,,,,,
14,73,Classified,15,32:38.953,+1:53.046,+15.884,9,1:54.398,146.4,Aloísio Monteiro,GD,991.2,,Porsche 911 GT3 Cup - 991.2,,,,,,,,,,,,Aloísio,MONTEIRO,,,,,,,,,,
15,44,Classified,15,32:43.146,+1:57.239,+4.193,12,1:54.558,146.2,Nuno Inocêncio,AM,991.1,,Porsche 911 GT3 Cup - 991.1,,,,,,,,,,,,Nuno,INOCÊNCIO,,,,,,,,,,
16,76,Classified,14,30:47.040,1 Lap,1 Lap,9,1:56.083,144.3,Frank Barret,GD,991.2,,Porsche 911 GT3 Cup - 991.2,,,,,,,,,,,,Frank,BARRET,,,,,,,,,,
17,81,Classified,14,30:48.943,1 Lap,+1.903,9,1:50.841,151.1,RGB RACING TEAM,GD,991.2,,Porsche 911 GT3 Cup - 991.2,,,,,,,,,,,,Chris,HILLABY,,,,,,,,,,
18,11A,Classified,14,31:55.349,1 Lap,+1:06.406,2,2:01.328,138.1,BigGeorge,GD,997.2,,Porsche 911 GT3 Cup - 997.2,,,,,,,,,,,,,BIGGEORGE,,,,,,,,,,
19,36,Classified,13,30:47.205,2 Laps,1 Lap,10,1:55.338,145.2,P21 Motorsport,AM,991.1,,Porsche 911 GT3 Cup - 991.1,,,,,,,,,,,,Tiago,GONÇALVES,,,,,,,,,,
20,78,Classified,12,32:47.432,3 Laps,1 Lap,12,1:59.577,140.1,Racar Motorsport,GD,991.2,,Porsche 911 GT3 Cup - 991.2,,,,,,,,,,,,Manuel,CHINCHILLA,,,,,,,,,,
,33,Not classified,9,31:42.495,,,4,2:09.913,128.9,Monteiros Competições,GD,991.1,,Porsche 911 GT3 Cup - 991.1,,,,,,,,,,,,Rui,MIRITTA,,,,,,,,,,
,4,Not classified,1,1:56.472,,,0,,,Bernardo Sousa,PROAM,997.2,,Porsche 911 GT3 Cup - 997.2,,,,,,,,,,,,Bernardo,SOUSA,,,,,,,,,,
,35,Not started,0,,,,0,,,P21 Motorsport,AM,991.1,,Porsche 911 GT3 Cup - 991.1,,,,,,,,,,,,Francisca,QUEIROZ,,,,,,,,,,
