POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,94,7,1:46.308,-,-,157.6,11,AF Motorsport,PROAM,991.2,,Porsche 911 GT3 Cup - 991.2,,,,,,,,,,,,Dylan,PEREIRA,,,,,,,,,,
2,89,11,1:47.159,+0.851,+0.851,156.3,13,Pedro Salvador,PROAM,991.2,,Porsche 911 GT3 Cup - 991.2,,,,,,,,,,,,Pedro,SALVADOR,,,,,,,,,,
3,68,15,1:47.945,+1.637,+0.786,155.2,16,LOB - Motorsport,PROAM,991.2,,Porsche 911 GT3 Cup - 991.2,,,,,,,,,,,,Manuel,ALVES,,,,,,,,,,
4,62,12,1:47.984,+1.676,+0.039,155.1,14,Veloso Motorsport,PROAM,991.2,,Porsche 911 GT3 Cup - 991.2,,,,,,,,,,,,Francisco,MORA,,,,,,,,,,
5,97,10,1:50.857,+4.549,+2.873,151.1,17,LOB - Motorsport,PROAM,991.2,,Porsche 911 GT3 Cup - 991.2,,,,,,,,,,,,Vasco,BARROS,,,,,,,,,,
6,74,6,1:51.408,+5.100,+0.551,150.4,9,Ian Barret,AM,991.2,,Porsche 911 GT3 Cup - 991.2,,,,,,,,,,,,Ian,BARRET,,,,,,,,,,
7,82,4,1:51.683,+5.375,+0.275,150.0,9,AF Motorsport,AM,991.2,,Porsche 911 GT3 Cup - 997.2,,,,,,,,,,,,André,FERNANDES,,,,,,,,,,
8,81,8,1:52.017,+5.709,+0.334,149.5,14,RGB RACING TEAM,GD,991.2,,Porsche 911 GT3 Cup - 991.2,,,,,,,,,,,,Chris,HILLABY,,,,,,,,,,
9,69,9,1:52.432,+6.124,+0.415,149.0,13,Monteiros Competições,PROAM,991.2,,Porsche 911 GT3 Cup - 991.2,,,,,,,,,,,,Alexandre,AREIA,,,,,,,,,,
10,66A,13,1:52.457,+6.149,+0.025,149.0,13,Veloso Motorsport,GD,991.2,,Porsche 911 GT3 Cup - 991.2,,,,,,,,,,,,João,POSSER,,,,,,,,,,
11,88,4,1:52.909,+6.601,+0.452,148.4,16,RGB RACING TEAM,AM,991.2,,Porsche 911 GT3 Cup - 991.2,,,,,,,,,,,,Jorge,RAMIREZ,,,,,,,,,,
12,79,7,1:53.882,+7.574,+0.973,147.1,8,Veloso Motorsport,AM,991.2,,Porsche 911 GT3 Cup - 991.2,,,,,,,,,,,,José,BARROS,,,,,,,,,,
13,77,8,1:54.064,+7.756,+0.182,146.9,12,Racar Motorsport,AM,991.2,,Porsche 911 GT3 Cup - 991.2,,,,,,,,,,,,Leandro,MARTINS,,,,,,,,,,
14,42,3,1:54.919,+8.611,+0.855,145.8,8,Jorge Brioso,AM,991.1,,Porsche 911 GT3 Cup - 991.1,,,,,,,,,,,,Jorge,BRIOSO,,,,,,,,,,
15,44,11,1:56.255,+9.947,+1.336,144.1,11,Nuno Inocêncio,AM,991.1,,Porsche 911 GT3 Cup - 991.1,,,,,,,,,,,,Nuno,INOCÊNCIO,,,,,,,,,,
16,73,13,1:57.231,+10.923,+0.976,142.9,13,Aloísio Monteiro,GD,991.2,,Porsche 911 GT3 Cup - 991.2,,,,,,,,,,,,Aloísio,MONTEIRO,,,,,,,,,,
17,4,3,1:58.305,+11.997,+1.074,141.6,4,Bernardo Sousa,PROAM,997.2,,Porsche 911 GT3 Cup - 997.2,,,,,,,,,,,,Bernardo,SOUSA,,,,,,,,,,
18,11A,8,1:58.404,+12.096,+0.099,141.5,13,BigGeorge,GD,997.2,,Porsche 911 GT3 Cup - 997.2,,,,,,,,,,,,Big,GEORGE,,,,,,,,,,
19,36,5,2:02.854,+16.546,+4.450,136.3,8,P21 Motorsport,AM,991.1,,Porsche 911 GT3 Cup - 991.1,,,,,,,,,,,,Tiago,GONÇALVES,,,,,,,,,,
20,76,7,2:05.179,+18.871,+2.325,133.8,10,Frank Barret,GD,991.2,,Porsche 911 GT3 Cup - 991.2,,,,,,,,,,,,Frank,BARRET,,,,,,,,,,
21,33,2,2:06.178,+19.870,+0.999,132.8,5,Monteiros Competições,GD,991.1,,Porsche 911 GT3 Cup - 991.1,,,,,,,,,,,,Rui,MIRITTA,,,,,,,,,,
22,78,12,2:08.698,+22.390,+2.520,130.2,13,Racar Motorsport,GD,991.2,,Porsche 911 GT3 Cup - 991.2,,,,,,,,,,,,Manuel,CHINCHILLA,,,,,,,,,,
23,90,2,2:09.925,+23.617,+1.227,128.9,3,Monteiros Competições,AM,991.2,,Porsche 911 GT3 Cup - 991.2,,,,,,,,,,,,Ricardo,COSTA,,,,,,,,,,
24,35,0,,,,,2,P21 Motorsport,AM,991.1,,Porsche 911 GT3 Cup - 991.1,,,,,,,,,,,,Francisca,QUEIROZ,,,,,,,,,,
