POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,71,Classified,8,21:33.312,-,-,8,2:13.088,156.7,DNS RACING,,,,MITJET 2L,,,,,,,,,,,,,CAPRASSE,,,,,,,,,,
2,88,Classified,8,21:33.323,+0.011,+0.011,8,2:13.225,156.5,ARCTIC ENERGY,,,,MITJET 2L,,,,,,,,,,,,,JANKAVICIUS,,,,,,,,,,
3,18,Classified,8,21:39.023,+5.711,+5.700,8,2:12.548,157.3,SCIONTI RACING TEAM,,,,MITJET 2L,,,,,,,,,,,,,DESIDERI,,,,,,,,,,
4,33,Classified,8,21:41.330,+8.018,+2.307,2,2:13.794,155.9,COSTA OVEST,,,,MITJET 2L,,,,,,,,,,,,,PAPI,,,,,,,,,,
5,3,Classified,8,21:41.525,+8.213,+0.195,3,2:14.187,155.4,SCIONTI RACING TEAM,,,,MITJET 2L,,,,,,,,,,,,,SCIONTI,,,,,,,,,,
6,128,Classified,8,21:41.656,+8.344,+0.131,2,2:14.397,155.2,GTDRIVE,J,,,MITJET 2L,,,,,,,,,,,,,FOSSARD,,,,,,,,,,
7,8,Classified,8,21:41.867,+8.555,+0.211,3,2:13.667,156.0,GTDRIVE,S,,,MITJET 2L,,,,,,,,,,,,,DAMIANI,,,,,,,,,,
8,25,Classified,8,21:42.223,+8.911,+0.356,8,2:13.289,156.5,WOLFHOUND,G,,,MITJET 2L,,,,,,,,,,,,,ROUVIER,,,,,,,,,,
9,116,Classified,8,21:42.551,+9.239,+0.328,3,2:14.361,155.2,TEAM LUCAS,S,,,MITJET 2L,,,,,,,,,,,,,THIEL,,,,,,,,,,
10,11,Classified,8,21:44.412,+11.100,+1.861,4,2:14.970,154.5,GTDRIVE,,,,MITJET 2L,,,,,,,,,,,,,TOURNISSOUX,,,,,,,,,,
11,68,Classified,8,21:44.856,+11.544,+0.444,8,2:13.778,155.9,SCIONTI RACING TEAM,G,,,MITJET 2L,,,,,,,,,,,,,PAPARUSSO,,,,,,,,,,
12,115,Classified,8,21:45.672,+12.360,+0.816,8,2:13.679,156.0,DC RACING,,,,MITJET 2L,,,,,,,,,,,,,FERLONI,,,,,,,,,,
13,69,Classified,8,21:46.492,+13.180,+0.820,8,2:15.525,153.9,GTDRIVE,G,,,MITJET 2L,,,,,,,,,,,,,BOURLARD,,,,,,,,,,
14,22,Classified,8,21:47.976,+14.664,+1.484,8,2:14.059,155.6,MV2S,S,,,MITJET 2L,,,,,,,,,,,,,BUISSON,,,,,,,,,,
15,31,Classified,8,21:47.998,+14.686,+0.022,8,2:15.422,154.0,COSTA OVEST,,,,MITJET 2L,,,,,,,,,,,,,SCIOMMERI,,,,,,,,,,
16,44,Classified,8,21:49.067,+15.755,+1.069,8,2:13.596,156.1,FOX RACING,S,,,MITJET 2L,,,,,,,,,,,,,GARBELLI,,,,,,,,,,
17,90,Classified,8,21:49.202,+15.890,+0.135,8,2:11.769,158.3,SCIONTI RACING TEAM,G,,,MITJET 2L,,,,,,,,,,,,,DEMARCO,,,,,,,,,,
18,66,Classified,8,21:52.297,+18.985,+3.095,4,2:16.582,152.7,DNS RACING,S,,,MITJET 2L,,,,,,,,,,,,,GERARD,,,,,,,,,,
19,36,Classified,8,21:53.936,+20.624,+1.639,8,2:17.284,151.9,COSTA OVEST,,,,MITJET 2L,,,,,,,,,,,,,ROSSETTI,,,,,,,,,,
20,28,Classified,8,21:53.950,+20.638,+0.014,8,2:15.050,154.4,GRT MOTORSPORT,,,,MITJET 2L,,,,,,,,,,,,,FUNARI,,,,,,,,,,
21,21,Classified,8,21:54.736,+21.424,+0.786,4,2:17.864,151.3,MV2S,G,,,MITJET 2L,,,,,,,,,,,,,GERMAIN,,,,,,,,,,
22,32,Classified,8,21:55.102,+21.790,+0.366,8,2:14.128,155.5,COSTA OVEST,,,,MITJET 2L,,,,,,,,,,,,,PRANDI,,,,,,,,,,
23,17,Classified,8,21:56.290,+22.978,+1.188,8,2:17.650,151.5,ARCTIC ENERGY,S,,,MITJET 2L,,,,,,,,,,,,,EGOROV,,,,,,,,,,
24,55,Classified,8,21:58.280,+24.968,+1.990,4,2:18.700,150.4,DNS RACING,G,,,MITJET 2L,,,,,,,,,,,,,POTIER,,,,,,,,,,
25,83,Classified,4,9:19.981,4 Laps,4 Laps,3,2:17.383,151.8,DNS RACING,S,,,MITJET 2L,,,,,,,,,,,,,BOURGINEAU,,,,,,,,,,
26,34,Classified,3,7:17.106,5 Laps,1 Lap,2,2:15.292,154.1,ITAL CAR MOTORSPORT,G,,,MITJET 2L,,,,,,,,,,,,,MALVESTITI,,,,,,,,,,
27,16,Classified,3,8:39.474,5 Laps,+1:22.368,2,2:17.139,152.1,FOX RACING,,,,MITJET 2L,,,,,,,,,,,,,FOSSATI,,,,,,,,,,
28,110,Classified,0,,8 Laps,3 Laps,0,,,DC RACING,J,,,MITJET 2L,,,,,,,,,,,,,CREMONA,,,,,,,,,,
29,35,Classified,0,,8 Laps,,0,,,ITAL CAR MOTORSPORT,J,,,MITJET 2L,,,,,,,,,,,,,TOCCI,,,,,,,,,,
