POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,44,Classified,11,20:37.486,-,-,7,1:43.296,171.1,ID Racing,,,,Porsche 911 Cup (992.2),M,,,,,,,,,,,Theo,Oeverhaus,,,DEU,OEV,,,,,,
2,3,Classified,11,20:39.297,+1.811,+1.811,8,1:43.471,170.8,Proton Competition,,,,Porsche 911 Cup (992.2),M,,,,,,,,,,,Keagan,Masters,,,ZAF,KMA,,,,,,
3,13,Classified,11,20:40.089,+2.603,+0.792,9,1:43.368,171.0,Target,,,,Porsche 911 Cup (992.2),M,,,,,,,,,,,Alexander,Tauscher,,,DEU,TAU,,,,,,
4,27,Classified,11,20:40.459,+2.973,+0.370,7,1:43.463,170.8,Team GP Elite,,,,Porsche 911 Cup (992.2),M,,,,,,,,,,,Matheus,Ferreira,,,BRA,FER,,,,,,
5,65,Classified,11,20:41.861,+4.375,+1.402,7,1:43.810,170.2,Team75 Bernhard,Rookie,,,Porsche 911 Cup (992.2),M,,,,,,,,,,,Sam,Jongejan,,,NLD,JON,,,,,,
6,34,Classified,11,20:42.667,+5.181,+0.806,7,1:43.783,170.3,Looping by CarTech,,,,Porsche 911 Cup (992.2),M,,,,,,,,,,,Dirk,Schouten,,,NLD,DSC,,,,,,
7,25,Classified,11,20:44.005,+6.519,+1.338,9,1:43.537,170.7,Team GP Elite,,,,Porsche 911 Cup (992.2),M,,,,,,,,,,,Wouter,Boerekamps,,,NLD,BOE,,,,,,
8,99,Classified,11,20:44.013,+6.527,+0.008,7,1:43.411,170.9,Proton Competition,,,,Porsche 911 Cup (992.2),M,,,,,,,,,,,Marcus,Amand,,,FIN,AMA,,,,,,
9,57,Classified,11,20:46.237,+8.751,+2.224,9,1:43.463,170.8,Forch Racing by Atlas Ward,,,,Porsche 911 Cup (992.2),M,,,,,,,,,,,Gustav,Burton,,,GBR,BUR,,,,,,
10,10,Classified,11,20:47.509,+10.023,+1.272,10,1:43.735,170.4,Laptime-Performance,,,,Porsche 911 Cup (992.2),M,,,,,,,,,,,Niels,Langeveld,,,NLD,LAN,,,,,,
11,88,Classified,11,20:48.226,+10.740,+0.717,10,1:43.831,170.2,Team Proton,,,,Porsche 911 Cup (992.2),M,,,,,,,,,,,Daniel,Ros,,,SWE,ROS,,,,,,
12,14,Classified,11,20:50.833,+13.347,+2.607,8,1:44.160,169.7,Target,Rookie,,,Porsche 911 Cup (992.2),M,,,,,,,,,,,Caleb,Sumich,,,AUS,SUM,,,,,,
13,66,Classified,11,20:51.753,+14.267,+0.920,8,1:44.129,169.7,Forch Racing by Atlas Ward,Rookie,,,Porsche 911 Cup (992.2),M,,,,,,,,,,,Montego,Maassen,,,DEU,MMA,,,,,,
14,95,Classified,11,20:54.187,+16.701,+2.434,8,1:44.121,169.7,Target,,,,Porsche 911 Cup (992.2),M,,,,,,,,,,,Joseph,Warhurst,,,GBR,WAR,,,,,,
15,6,Classified,11,20:55.766,+18.280,+1.579,9,1:44.283,169.5,Team Proton,Rookie,,,Porsche 911 Cup (992.2),M,,,,,,,,,,,Dylan,Yip,,,HKG,YIP,,,,,,
16,98,Classified,11,20:57.694,+20.208,+1.928,10,1:43.969,170.0,Team GP Elite,Rookie,,,Porsche 911 Cup (992.2),M,,,,,,,,,,,Nick,Ho,,,NLD,NHO,,,,,,
17,31,Classified,11,20:58.455,+20.969,+0.761,9,1:43.821,170.2,Laptime-Performance,,,,Porsche 911 Cup (992.2),M,,,,,,,,,,,Sebastian,Freymuth,,,DEU,FRE,,,,,,
18,16,Classified,11,20:59.168,+21.682,+0.713,9,1:44.039,169.9,Target Competition,Rookie,,,Porsche 911 Cup (992.2),M,,,,,,,,,,,Max,Mutschlechner,,,DEU,MUT,,,,,,
19,17,Classified,11,21:01.200,+23.714,+2.032,10,1:44.040,169.9,Team Proton,Rookie,,,Porsche 911 Cup (992.2),M,,,,,,,,,,,Gustav,Bergström,,,SWE,BER,,,,,,
20,4,Classified,11,21:02.127,+24.641,+0.927,10,1:44.338,169.4,GP Elite,,,,Porsche 911 Cup (992.2),M,,,,,,,,,,,Jonas,Greif,,,DEU,GRE,,,,,,
21,5,Classified,11,21:03.380,+25.894,+1.253,10,1:45.106,168.1,GP Elite,ProAm,,,Porsche 911 Cup (992.2),M,,,,,,,,,,,Sören,Spreng,,,DEU,SPR,,,,,,
