POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,5,10,1:35.205,-,-,185.6,10,FREY GROUP,LMP1,,,Lola B07/18,,,,,,,,,,,,Michel,FREY,,,CHE,,,,,,,
2,008,6,1:35.250,+0.045,+0.045,185.5,6,Front Row Racing,LMP1,,,Lola Aston Martin DBR1/2,,,,,,,,,,,,Christian,ALBRECHT,,,DEU,,,,,,,
3,16,12,1:37.723,+2.518,+2.473,180.8,15,OC Racing,LMP1,,,Peugeot 908,,,,,,,,,,,,Steve,BROOKS,Bronze FIA,,GBR,,,,,,,
4,4,16,1:38.098,+2.893,+0.375,180.2,16,BBM Sport,LMP1,,,Peugeot 908 HDI FAP,,,,,,,,,,,,Shaun,LYNN,Bronze FIA,,GBR,,,,,,,
5,6,14,1:38.126,+2.921,+0.028,180.1,14,BBM Sport/Richard Bradley Motorsport,LMP1,,,Peugeot 908,,,,,,,,,,,,Stuart,WILTSHIRE,Bronze FIA,,GBR,,,,,,,
6,83,3,1:38.355,+3.150,+0.229,179.7,4,JMB Classic,LMP2,,,Porsche RS Spyder,,,,,,,,,,,,François,PERRODO,Bronze FIA,,FRA,,,,,,,
7,37,4,1:38.426,+3.221,+0.071,179.6,5,FREY GROUP/Race Performance AG,LMP1,,,Lola B06/10,,,,,,,,,,,,Marcel,AEBI,,,CHE,,,,,,,
8,21,5,1:39.023,+3.818,+0.597,178.5,7,JMB Classic,INV,,,OAK Pescarolo 01,,,,,,,,,,,,Mathieu,LAHAYE,Bronze FIA,,FRA,,,,,,,
9,47,11,1:42.011,+6.806,+2.988,173.2,12,JW Racing,LMP2,,,Pescarolo 01 Morgan,,,,,,,,,,,,Andy,CUMMINGS,Bronze FIA,,GBR,,,,,,,
10,46,10,1:42.191,+6.986,+0.180,172.9,11,Front Row Racing,LMP2,,,Oreca 05,,,,,,,,,,,,Evgeny,KIREEV,Bronze FIA,,CYP,,,,,,,
11,35,9,1:42.341,+7.136,+0.150,172.7,14,Rinaldi Racing,LMP2,,,Ligier JS P2,,,,,,,,,,,,Pierre,EHRET,Bronze FIA,,DEU,,,,,,,
12,26,8,1:43.306,+8.101,+0.965,171.1,10,Rinaldi Racing,LMP2,,,Ligier JS P2,,,,,,,,,,,,Jacques,NICOLET,Bronze FIA,,FRA,,,,,,,
13,39,9,1:47.056,+11.851,+3.750,165.1,13,WA Motorsport,LMP2,,,HPD ARX-04,,,,,,,,,,,,Mark,DRAIN,,,GBR,,,,,,,
14,25,6,1:51.398,+16.193,+4.342,158.6,13,Fanta Racing Legend by Code Classic,LMGTE,,,Aston Martin Vantage AMR,,,,,,,,,,,,Franz,WUNDERLICH,Bronze FIA,,DEU,,,,,,,
15,13,6,1:52.351,+17.146,+0.953,157.3,12,Komo-Tec,LMGTE,,,Lotus Evora GTE,,,,,,,,,,,,Professor Wolfgang,HENSELER,,,DEU,,,,,,,
16,18,0,,,,,0,Rinaldi Racing - Pierre Kaffer,LMP2,,,Ligier JS P2,,,,,,,,,,,,Michael,DOPPELMAYR,Bronze FIA,,AUT,,,,,,,
