POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,5,7,1:36.400,-,-,183.3,12,FREY GROUP,LMP1,,,Lola B07/18,,,,,,,,,,,,Michel,FREY,,,,,,,,,,
2,8,15,1:37.240,+0.840,+0.840,181.7,15,BBM Sport,LMP1,,,Peugeot 908 HDI FAP,,,,,,,,,,,,Kriton,LENDOUDIS,Bronze FIA,,,,,,,,,
3,008,12,1:37.485,+1.085,+0.245,181.3,12,Front Row Racing,LMP1,,,Lola Aston Martin DBR1/2,,,,,,,,,,,,Christian,ALBRECHT,,,,,,,,,,
4,16,15,1:39.342,+2.942,+1.857,177.9,15,OC Racing,LMP1,,,Peugeot 908,,,,,,,,,,,,Steve,BROOKS,Bronze FIA,,,,,,,,,
5,83,14,1:39.503,+3.103,+0.161,177.6,14,JMB Classic,LMP2,,,Porsche RS Spyder,,,,,,,,,,,,François,PERRODO,Bronze FIA,,,,,,,,,
6,37,8,1:40.601,+4.201,+1.098,175.7,14,FREY GROUP/Race Performance AG,LMP1,,,Lola B06/10,,,,,,,,,,,,Marcel,AEBI,,,,,,,,,,
7,6,12,1:40.611,+4.211,+0.010,175.7,15,BBM Sport/Richard Bradley Motorsport,LMP1,,,Peugeot 908,,,,,,,,,,,,Stuart,WILTSHIRE,Bronze FIA,,,,,,,,,
8,21,7,1:40.655,+4.255,+0.044,175.6,13,JMB Classic,LMP2,,,OAK Pescarolo 01,,,,,,,,,,,,Mathieu,LAHAYE,Bronze FIA,,,,,,,,,
9,47,14,1:42.990,+6.590,+2.335,171.6,14,JW Racing,LMP2,,,Pescarolo 01 Morgan,,,,,,,,,,,,Andy,CUMMINGS,Bronze FIA,,,,,,,,,
10,35,8,1:44.514,+8.114,+1.524,169.1,8,Rinaldi Racing,LMP2,,,Ligier JS P2,,,,,,,,,,,,Pierre,EHRET,Bronze FIA,,,,,,,,,
11,26,10,1:45.302,+8.902,+0.788,167.8,12,Rinaldi Racing,LMP2,,,Ligier JS P2,,,,,,,,,,,,Jacques,NICOLET,Bronze FIA,,,,,,,,,
12,25,10,1:46.996,+10.596,+1.694,165.2,12,Fanta Racing Legend by Code Classic,LMGTE,,,Aston Martin Vantage AMR,,,,,,,,,,,,Franz,WUNDERLICH,Bronze FIA,,,,,,,,,
13,46,13,1:51.400,+15.000,+4.404,158.6,13,Front Row Racing,LMP2,,,Oreca 05,,,,,,,,,,,,Evgeny,KIREEV,Bronze FIA,,,,,,,,,
14,39,11,1:51.498,+15.098,+0.098,158.5,11,WA Motorsport,LMP2,,,HPD ARX-04,,,,,,,,,,,,Mark,DRAIN,,,,,,,,,,
15,13,11,1:56.850,+20.450,+5.352,151.2,13,Komo-Tec,LMGTE,,,Lotus Evora GTE,,,,,,,,,,,,Professor Wolfgang,HENSELER,,,,,,,,,,
16,4,0,,,,,0,BBM Sport,LMP1,,,Peugeot 908 HDI FAP,,,,,,,,,,,,Shaun,LYNN,Bronze FIA,,,,,,,,,
17,18,0,,,,,0,Rinaldi Racing - Pierre Kaffer,LMP2,,,Ligier JS P2,,,,,,,,,,,,Michael,DOPPELMAYR,Bronze FIA,,,,,,,,,
