POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,008,Classified,23,40:09.560,-,-,10,1:35.430,185.2,Front Row Racing,LMP1,,,Lola Aston Martin DBR1/2,,,,,,,,,,,,Christian,ALBRECHT,,,GER,,,,,,,
2,4,Classified,23,40:14.378,+4.818,+4.818,22,1:36.111,183.9,BBM Sport,LMP1,,,Peugeot 908 HDI FAP,,,,,,,,,,,,Shaun,LYNN,Bronze FIA,,GBR,,,,,,,
3,6,Classified,23,40:24.550,+14.990,+10.172,22,1:38.010,180.3,BBM Sport,LMP1,,,Peugeot 908,,,,,,,,,,,,Stuart,WILTSHIRE,Bronze FIA,,GBR,,,,,,,
4,83,Classified,23,40:25.249,+15.689,+0.699,22,1:37.701,180.9,JMB Classic,LMP2,,,Porsche RS Spyder,,,,,,,,,,,,François,PERRODO,Bronze FIA,,FRA,,,,,,,
5,46,Classified,23,40:36.104,+26.544,+5.985,14,1:40.274,176.2,Front Row Racing,LMP2,,,Oreca 05,,,,,,,,,,,,Evgeny,KIREEV,Bronze FIA,,CYP,,,,,,,
6,47,Classified,22,40:39.011,1 Lap,1 Lap,13,1:42.323,172.7,JWA Racing,LMP2,,,Pescarolo 01 Morgan,,,,,,,,,,,,Andy,CUMMINGS,Bronze FIA,,GBR,,,,,,,
7,26,Classified,22,40:42.610,1 Lap,+3.599,7,1:42.821,171.9,Rinaldi Racing,LMP2,,,Ligier JS P2,,,,,,,,,,,,Jacques,NICOLET,Bronze FIA,,FRA,,,,,,,
8,25,Classified,21,41:11.836,2 Laps,1 Lap,19,1:50.310,160.2,Fanta Racing Legend by Code Classic,LMGTE,,,Aston Martin Vantage AMR,,,,,,,,,,,,Franz,WUNDERLICH,Bronze FIA,,GER,,,,,,,
9,13,Classified,20,40:21.567,3 Laps,1 Lap,7,1:52.520,157.1,Komo-Tec,LMGTE,,,Lotus Evora GTE,,,,,,,,,,,,Professor Wolfgang,HENSELER,,,GER,,,,,,,
10,21,Classified,23,40:30.119,+20.559,+4.870,14,1:38.554,179.3,JMB Classic,INV,,,OAK Pescarolo 01,,,,,,,,,,,,Mathieu,LAHAYE,Bronze FIA,,FRA,,,,,,,
,18,Not classified,17,33:47.632,,,13,1:51.682,158.2,Rinaldi Racing,LMP2,,,Ligier JS P2,,,,,,,,,,,,Michael,DOPPELMAYR,Bronze FIA,,AUT,,,,,,,
,37,Not classified,14,22:55.999,,,12,1:37.019,182.2,Race Performance AG,LMP1,,,Lola B06/10,,,,,,,,,,,,Michel,FREY,,,SUI,,,,,,,
,35,Not classified,14,24:06.708,,,8,1:41.772,173.6,Rinaldi Racing,LMP2,,,Ligier JS P2,,,,,,,,,,,,Pierre,EHRET,Bronze FIA,,GER,,,,,,,
,39,Not classified,4,13:49.982,,,2,1:54.446,154.4,WA Motorsport,LMP2,,,HPD ARX-04,,,,,,,,,,,,Mark,DRAIN,,,GBR,,,,,,,
,16,Not classified,2,3:29.001,,,2,1:43.063,171.5,OC Racing,LMP1,,,Peugeot 908,,,,,,,,,,,,Steve,BROOKS,Bronze FIA,,GBR,,,,,,,
