POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,1,Classified,12,25:04.712,-,-,2,2:04.059,157.0,BWT Junior Racing,PRO,,GT3,Porsche 992 GT3 CUP,,,,,,,,,,,,Morris,SCHURING,,,NLD,,,,,,,
2,7,Classified,12,25:07.598,+2.886,+2.886,5,2:04.113,157.0,Saudi Racing,PRO AM,,GT3,Porsche 992 GT3 CUP,,,,,,,,,,,,Fahad,ALGOSAIBI,,,KSA,,,,,,,
3,87,Classified,12,25:09.007,+4.295,+1.409,2,2:04.190,156.9,DHL Team,PRO,,GT3,Porsche 992 GT3 CUP,,,,,,,,,,,,Richard,WAGNER,,,DEU,,,,,,,
4,23,Classified,12,25:14.120,+9.408,+5.113,2,2:04.762,156.2,Team JDA,PRO,,GT3,Porsche 992 GT3 CUP,,,,,,,,,,,,James,DORLIN,,,GBR,,,,,,,
5,77,Classified,12,25:15.493,+10.781,+1.373,2,2:04.625,156.3,Saudi Racing,PRO AM,,GT3,Porsche 992 GT3 CUP,,,,,,,,,,,,Bandar,ALESAYI,,,KSA,,,,,,,
6,8,Classified,12,25:16.821,+12.109,+1.328,4,2:04.644,156.3,GP Elite,PRO,,GT3,Porsche 992 GT3 CUP,,,,,,,,,,,,Daan,VAN KUIJK,,,NLD,,,,,,,
7,55,Classified,12,25:20.211,+15.499,+3.390,6,2:05.246,155.6,JMB Racing,PRO AM,,GT3,Porsche 992 GT3 CUP,,,,,,,,,,,,Nicolas,MISSLIN,,,MCO,,,,,,,
8,69,Classified,12,25:22.946,+18.234,+2.735,2,2:05.229,155.6,GP Elite,PRO AM,,GT3,Porsche 992 GT3 CUP,,,,,,,,,,,,Thierry,VERMEULEN,,,NLD,,,,,,,
9,15,Classified,12,25:23.105,+18.393,+0.159,5,2:05.216,155.6,GP Elite,PRO,,GT3,Porsche 992 GT3 CUP,,,,,,,,,,,,Lucas,GROENEVELD,,,NLD,,,,,,,
10,72,Classified,12,25:26.228,+21.516,+3.123,5,2:06.048,154.6,GP Elite,PRO AM,,GT3,Porsche 992 GT3 CUP,,,,,,,,,,,,Steven,VAN RHEE,,,NLD,,,,,,,
11,10,Classified,12,25:28.850,+24.138,+2.622,4,2:05.944,154.7,Team Bahrain,PRO AM,,GT3,Porsche 992 GT3 CUP,,,,,,,,,,,,Ali,AL KHALIFA,,,BHR,,,,,,,
12,32,Classified,12,25:30.781,+26.069,+1.931,2,2:04.923,156.0,Team JDA,PRO AM,,GT3,Porsche 992 GT3 CUP,,,,,,,,,,,,Alexander,MALYKHIN,,,BLR,,,,,,,
