POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,500,Classified,18,36:15.391,-,-,15,1:45.145,159.3,DW Racing,PLATINUM,,,SR10 XXR,,,,,,,,,,,,Indy,Al MILLER,,,USA,,,,,,,
2,9,Classified,18,36:25.146,+9.755,+9.755,15,1:45.823,158.3,Radical Sweden,PLATINUM,,,SR10,,,,,,,,,,,,Filip,SVENSSON,,,SWE,,,,,,,
3,24,Classified,18,36:34.646,+19.255,+9.500,15,1:46.582,157.2,DW Racing,PLATINUM,,,SR10 XXR,,,,,,,,,,,,Gregg,GORSKI,,,USA,,,,,,,
4,37,Classified,18,36:35.088,+19.697,+0.442,14,1:45.749,158.4,DW Racing,PLATINUM,,,SR10 XXR,,,,,,,,,,,,Jon,FIELD,,,USA,,,,,,,
5,13,Classified,18,36:36.274,+20.883,+1.186,7,1:48.547,154.3,Valour Racing,PRO 1500,,,SR3 XXR 1500,,,,,,,,,,,,Haydn,CHANCE,,,GBR,,,,,,,
6,53,Classified,18,36:38.639,+23.248,+2.365,6,1:45.508,158.8,DW Racing,PLATINUM,,,SR10 XXR,,,,,,,,,,,,Ben,CAISLEY,,,GBR,,,,,,,
7,32,Classified,18,36:44.429,+29.038,+5.790,6,1:49.542,152.9,Valour Racing,PRO 1500,,,SR3 XXR 1500,,,,,,,,,,,,Luke,HILTON,,,GBR,,,,,,,
8,80,Classified,18,36:48.090,+32.699,+3.661,17,1:49.630,152.8,DW Racing,PRO 1500,,,SR3 XXR 1500,,,,,,,,,,,,Peter,TYLER,,,GBR,,,,,,,
9,46,Classified,18,36:52.534,+37.143,+4.444,7,1:50.071,152.2,Radical Sweden,PRO 1500,,,SR3 XX 1500,,,,,,,,,,,,Mikael,BERN,,,SWE,,,,,,,
10,14,Classified,18,36:53.949,+38.558,+1.415,8,1:50.426,151.7,RSR,PRO 1500,,,SR3 XXR 1500,,,,,,,,,,,,John,MACLEOD,,,GBR,,,,,,,
11,15,Classified,18,36:54.427,+39.036,+0.478,18,1:49.557,152.9,TTR,PRO 1500,,,SR3 XX 1500,,,,,,,,,,,,Amir,FEYZULIN,,,UAE,,,,,,,
12,47,Classified,18,36:56.130,+40.739,+1.703,18,1:50.138,152.1,Valour Racing,PRO 1500,,,SR3 XXR 1500,,,,,,,,,,,,Rob,GREENWOOD,,,GBR,,,,,,,
13,21,Classified,18,36:56.867,+41.476,+0.737,18,1:50.450,151.7,Valour Racing,PRO 1500,,,SR3 XX 1500,,,,,,,,,,,,Jack,YANG,,,CHI,,,,,,,
14,34,Classified,18,37:01.648,+46.257,+4.781,8,1:51.970,149.6,GWR Australia,PRO 1500,,,SR3 XXR 1500,,,,,,,,,,,,Steve,CHAMPION,,,AUS,,,,,,,
15,6,Classified,18,37:04.113,+48.722,+2.465,17,1:52.641,148.7,DW Racing,PRO 1500,,,SR3 XX 1500,,,,,,,,,,,,Rahul,PATEL,,,BMU,,,,,,,
16,52,Classified,18,37:09.060,+53.669,+4.947,18,1:47.180,156.3,DW Racing,PLATINUM,,,SR10 XXR,,,,,,,,,,,,John,HARRISON,,,JEY,,,,,,,
17,18,Classified,18,37:15.531,+1:00.140,+6.471,8,1:50.114,152.1,RSR,PRO 1500,,,SR3 XXR 1500,,,,,,,,,,,,Mark,WILLIAMS,,,GBR,,,,,,,
18,63,Classified,18,37:25.176,+1:09.785,+9.645,18,1:51.118,150.7,Valour Racing,PLATINUM,,,SR10,,,,,,,,,,,,Jim,BOOTH,,,USA,,,,,,,
19,31,Classified,17,37:18.922,1 Lap,1 Lap,7,1:55.615,144.9,Radical Canada,PRO 1340,,,SR3 RSX 1340,,,,,,,,,,,,Matt,GRAHAM,,,CAN,,,,,,,
20,88,Classified,16,36:53.290,2 Laps,1 Lap,14,1:46.877,156.7,360 Racing,PLATINUM,,,SR10,,,,,,,,,,,,Jacek,ZIELONKA,,,POL,,,,,,,
21,911,Classified,15,32:19.447,3 Laps,1 Lap,7,1:49.311,153.2,Marbella Motorsport,PRO 1500,,,SR3 XXR 1500,,,,,,,,,,,,Erlend,Juan OLSEN,,,NOR,,,,,,,
22,3,Classified,8,14:22.510,10 Laps,7 Laps,6,1:46.370,157.5,Valour Racing,PLATINUM,,,SR10,,,,,,,,,,,,Chris,PREEN,,,GBR,,,,,,,
