POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,98,4,1:44.063,-,-,161.1,16,Forestier Racing CLRT,Pro,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Dorian,BOCCOLACCI,,,FRA,,,,,,,
2,1,6,1:45.255,+1.192,+1.192,159.3,15,TFT Racing,Pro,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Marvin,KLEIN,,,FRA,,,,,,,
3,5,5,1:45.308,+1.245,+0.053,159.2,15,TFT Racing,Pro,R,,Porsche 911 GT3 Cup,,,,,,,,,,,,Mathys,JAUBERT,,,FRA,,,,,,,
4,99,5,1:45.310,+1.247,+0.002,159.2,16,Forestier Racing CLRT,Pro,R,,Porsche 911 GT3 Cup,,,,,,,,,,,,Benjamin,PAQUE,,,BEL,,,,,,,
5,29,5,1:45.326,+1.263,+0.016,159.2,17,Forestier Racing CLRT,Pro,R,,Porsche 911 GT3 Cup,,,,,,,,,,,,Louis,ROUSSET,,,FRA,,,,,,,
6,22,10,1:45.425,+1.362,+0.099,159.0,16,Martinet by Alméras,Pro,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Alessandro,GHIRETTI,,,FRA,,,,,,,
7,53,4,1:45.472,+1.409,+0.047,159.0,14,Martinet by Alméras,Pro,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Arthur,MATHIEU,,,FRA,,,,,,,
8,27,4,1:46.060,+1.997,+0.588,158.1,16,ABM,Pro,R,,Porsche 911 GT3 Cup,,,,,,,,,,,,Marlon,HERNANDEZ,,,FRA,,,,,,,
9,89,7,1:46.173,+2.110,+0.113,157.9,17,Tsunami RT,Pro-Am,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Bashar,MARDINI,,,CAN,,,,,,,
10,2,8,1:46.290,+2.227,+0.117,157.7,16,HERRERO Racing,Pro-Am,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Marc,GUILLOT,,,FRA,,,,,,,
11,76,10,1:46.340,+2.277,+0.050,157.7,16,IMSA LS Group Performance,Pro,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Louis,PERROT,,,FRA,,,,,,,
12,74,5,1:46.365,+2.302,+0.025,157.6,16,ABM,Pro,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Victor,BLUGEON,,,FRA,,,,,,,
13,7,6,1:46.398,+2.335,+0.033,157.6,16,Racing Technology,Pro-Am,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Jérôme,BOULLERY,,,FRA,,,,,,,
14,77,8,1:46.516,+2.453,+0.118,157.4,16,Racing Technology,Pro,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Jérémy,SARHY,,,FRA,,,,,,,
15,59,4,1:46.563,+2.500,+0.047,157.3,18,IMSA LS Group Performance,Pro-Am,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Maxence,MAURICE,,,FRA,,,,,,,
16,97,5,1:46.903,+2.840,+0.340,156.8,16,Speed Lover,Pro-Am,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Didier,GLORIEUX,,,BEL,,,,,,,
17,911,13,1:47.013,+2.950,+0.110,156.7,17,Martinet by Alméras,Pro-Am,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Christophe,LAPIERRE,,,FRA,,,,,,,
18,73,5,1:47.035,+2.972,+0.022,156.6,17,ABM,Am,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Sébastien,POISSON,,,FRA,,,,,,,
19,38,13,1:47.320,+3.257,+0.285,156.2,18,ABM,Pro-Am,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Sébastien,DUSSOLLIET,,,FRA,,,,,,,
20,12,7,1:47.335,+3.272,+0.015,156.2,18,Porsche Lorient Racing,Am,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Ludovic,LOEUL,,,FRA,,,,,,,
21,56,7,1:47.792,+3.729,+0.457,155.5,17,Porsche Lorient Racing,Pro-Am,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Frédéric,ANCEL,,,FRA,,,,,,,
22,79,9,1:48.551,+4.488,+0.759,154.4,15,Tsunami RT,Am,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Johannes,ZELGER,,,ITA,,,,,,,
23,24,5,1:49.479,+5.416,+0.928,153.1,18,TFT Racing,Am,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Alexandre,LEROY,,,BEL,,,,,,,
