POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,3,Classified,14,33:25.092,-,-,3,2:22.317,177.2,SSR Huber Racing,,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Laurin,Heinrich,,,DEU,,,,,,,
2,94,Classified,14,33:27.081,+1.989,+1.989,3,2:22.062,177.5,IronForce Racing by Phoenix,,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Dylan,Pereira,,,LUX,,,,,,,
3,25,Classified,14,33:27.500,+2.408,+0.419,4,2:22.726,176.7,Team GP Elite,,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Larry,Ten Voorde,,,NLD,,,,,,,
4,4,Classified,14,33:34.503,+9.411,+7.003,4,2:22.815,176.6,Black Falcon,,TP,,Porsche 911 GT3 Cup,,,,,,,,,,,,Loek,Hartog,,,NLD,,,,,,,
5,14,Classified,14,33:34.958,+9.866,+0.455,4,2:22.893,176.5,SSR Huber Racing,,TP,,Porsche 911 GT3 Cup,,,,,,,,,,,,Morris,Schuring,,,NLD,,,,,,,
6,92,Classified,14,33:35.430,+10.338,+0.472,3,2:23.210,176.1,SSR Huber Racing,,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Michael,Ammermüller,,,DEU,,,,,,,
7,99,Classified,14,33:36.317,+11.225,+0.887,4,2:23.007,176.3,Allied-Racing,,TP,,Porsche 911 GT3 Cup,,,,,,,,,,,,Bastian,Buus,,,DNK,,,,,,,
8,24,Classified,14,33:40.460,+15.368,+4.143,4,2:23.226,176.0,Team GP Elite,,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Max,Van Splunteren,,,NLD,,,,,,,
9,57,Classified,14,33:41.308,+16.216,+0.848,5,2:23.269,176.0,Huber Racing,,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Rudy,Van Buren,,,NLD,,,,,,,
10,26,Classified,14,33:43.501,+18.409,+2.193,3,2:23.525,175.7,Team GP Elite,,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Jesse,Van Kuijk,,,NLD,,,,,,,
