POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,2,Classified,17,50:56.859,-,-,9,2:50.376,148.0,Garage Terriou,FC1,,,Porsche 911,,,,,,,,,,,,,TERRIOU,,,FRA,,,,,,,
2,92,Classified,17,51:32.007,+35.148,+35.148,8,2:51.687,146.9,Swiss Wheels Swappers,FC1,,,Porsche 964 RS,,,,,,,,,,,,,TORRES,,,CHE,,,,,,,
3,30,Classified,17,51:37.947,+41.088,+5.940,5,2:52.605,146.1,GT Ride,FC1,,,Porsche 964 RSR,,,,,,,,,,,,,GARRET,,,FRA,,,,,,,
4,23,Classified,16,51:04.736,1 Lap,1 Lap,6,3:00.927,139.4,GHC,FC2,,,Porsche 968 CS,,,,,,,,,,,,,LES,,,BEL,,,,,,,
5,44,Classified,16,51:06.040,1 Lap,+1.304,16,3:00.646,139.6,Team JMCE,FC2,,,Porsche 944 S2,,,,,,,,,,,,,LICOPS,,,BEL,,,,,,,
6,9,Classified,16,51:23.912,1 Lap,+17.872,6,3:01.952,138.6,Ferdinand Racing Team,FC1,,,Porsche 964 RS,,,,,,,,,,,,,DRO,,,FRA,,,,,,,
7,91,Classified,16,51:37.746,1 Lap,+13.834,8,3:00.262,139.9,Team Hulk Racing,FC2,,,Porsche 944 S,,,,,,,,,,,,,MAUDUIT / LACROIX,,,L / B,,,,,,,
8,93,Classified,16,51:44.347,1 Lap,+6.601,2,3:01.399,139.0,MVRacing,FC1,,,Porsche 911 SC,,,,,,,,,,,,,DECULTOT / MATHON,,,FRA,,,,,,,
9,24,Classified,16,51:45.652,1 Lap,+1.305,4,3:03.151,137.7,Heritage Events Cars,FC1,,,Porsche 964 RS,,,,,,,,,,,,,BEECKMAN / DENIS,,,BEL,,,,,,,
10,69,Classified,16,51:56.932,1 Lap,+11.280,13,3:04.331,136.8,Terriou Racing,FC2,,,Porsche 911 3.0 SC,,,,,,,,,,,,,L'EPLATTENIER,,,FRA,,,,,,,
11,5,Classified,16,52:10.990,1 Lap,+14.058,12,3:02.665,138.0,Juracing Team,FC1,,,Porsche 911 2.8 RSR,,,,,,,,,,,,,RAMOUSSE,,,FRA,,,,,,,
12,198,Classified,16,52:44.325,1 Lap,+33.335,12,3:06.619,135.1,JH Racing Team,FC1,,,Porsche 964 C2,,,,,,,,,,,,,HARDONNIERE,,,FRA,,,,,,,
13,22,Classified,16,53:00.765,1 Lap,+16.440,10,3:02.756,138.0,BG-BC,FC2,,,Porsche 911 3.2 l,,,,,,,,,,,,,GAYER / PAULEN,,,FRA,,,,,,,
14,56,Classified,16,53:02.199,1 Lap,+1.434,15,3:03.588,137.3,FlatSix Le Mans RT,FC1,,,Porsche 911 SC,,,,,,,,,,,,,GAULTIER / LE FLEM,,,FRA,,,,,,,
15,77,Classified,16,53:03.810,1 Lap,+1.611,4,3:07.196,134.7,Air Cooled Racing Team,FC2,,,Porsche 911 3.0 l,,,,,,,,,,,,,DEBY / BELKREIR,,,LUX,,,,,,,
16,68,Classified,16,53:22.243,1 Lap,+18.433,14,3:07.844,134.2,Garage du Centre,FC2,,,Porsche 968,,,,,,,,,,,,,SALERNO,,,FRA,,,,,,,
17,76,Classified,16,53:29.848,1 Lap,+7.605,12,3:07.140,134.7,JC Retro Racing,FC2,,,Porsche 968 CS,,,,,,,,,,,,,CARVALHEIRO / NAIVIN,,,FRA,,,,,,,
18,7,Classified,16,53:45.117,1 Lap,+15.269,7,3:06.192,135.4,Team Brunel,FC1,,,Porsche 993 C2,,,,,,,,,,,,,BRUNEL / BRUNEL,,,FRA,,,,,,,
19,75,Classified,16,53:47.528,1 Lap,+2.411,7,3:05.886,135.6,Parisians Cars Racing Team,FC2,,,Porsche 911 SC,,,,,,,,,,,,,SERRES / PUECHAVY,,,FRA,,,,,,,
20,72,Classified,16,53:51.254,1 Lap,+3.726,7,3:06.945,134.9,FLV Associés,FC2,,,Porsche 911 3.0 SC,,,,,,,,,,,,,MATHIEU / MONOT,,,FRA,,,,,,,
21,4,Classified,15,50:58.843,2 Laps,1 Lap,13,3:09.774,132.9,CAS Racing,FC2,,,Porsche 968 CS,,,,,,,,,,,,,DUDEL,,,FRA,,,,,,,
22,8,Classified,15,52:21.167,2 Laps,+1:22.324,15,3:15.987,128.7,Duval's,FC1,,,Porsche 964 C2,,,,,,,,,,,,,DUVAL / DUVAL,,,FRA,,,,,,,
23,99,Classified,15,54:10.017,2 Laps,+1:48.850,6,3:16.875,128.1,Sportswagen Zentrum Eifel,FC3,,,Porsche 924,,,,,,,,,,,,,ZENSEN / IRNICH,,,DEU,,,,,,,
24,67,Classified,14,52:18.788,3 Laps,1 Lap,5,3:30.658,119.7,Garage du Centre,FC3,,,Porsche 924,,,,,,,,,,,,,MATTER,,,FRA,,,,,,,
25,27,Classified,14,53:44.624,3 Laps,+1:25.836,5,3:35.247,117.1,Leader,FC3,,,Porsche 924,,,,,,,,,,,,,RUNG / DESLAURIER,,,D / F,,,,,,,
26,924,Classified,13,44:28.419,4 Laps,1 Lap,13,3:09.375,133.1,JS Speed Shop,FC2,,,Porsche 924 S,,,,,,,,,,,,,SALVA / MORISSET,,,FRA,,,,,,,
