POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,3,8,1:51.779,-,-,147.0,8,SUTEKINA RACING TEAM,,,,Sutekina Racing,,,,,,,,,,,,RYUNOSUKE,SAWA,,,,,,,,,,
2,98,7,1:52.311,+0.532,+0.532,146.3,8,Bionic  Jack Racing,,,,Bionic  Jack Racing F111/3,,,,,,,,,,,,SOTA,OGAWA,,,,,,,,,,
3,14,7,1:53.411,+1.632,+1.100,144.8,8,SUTEKINA RACING TEAM,,,,Sutekina Racing,,,,,,,,,,,,MIZUKI,ISHIZAKA,,,,,,,,,,
4,27,8,1:54.118,+2.339,+0.707,143.9,8,SUTEKINA RACING TEAM,,,,Sutekina Racing,,,,,,,,,,,,LIAM,SCEATS,,,,,,,,,,
5,44,8,1:54.826,+3.047,+0.708,143.1,8,TOKAIDENSO MD,M,,,TOKAIDENSO F111,,,,,,,,,,,,TOSHIHIRO,KUBOTA,,,,,,,,,,
6,97,8,1:54.903,+3.124,+0.077,143.0,8,Bionic  Jack Racing,,,,Bionic  Jack Racing F111/3,,,,,,,,,,,,ANNA,INOTSUME,,,,,,,,,,
7,11,7,1:55.957,+4.178,+1.054,141.7,7,Rn-sports,M,,,47Trading with Rn-sports,,,,,,,,,,,,,MOTOKI,,,,,,,,,,
8,45,7,1:59.315,+7.536,+3.358,137.7,7,PONOS  RACING,M,,,PONOS  RACING,,,,,,,,,,,,YORIKATSU,TSUJIKO,,,,,,,,,,
,23,7,2:04.432,,,132.0,7,N-SPEED,M,,,S2R  Racing,,,,,,,,,,,,,YUGO,,,,,,,,,,
,18,6,2:06.259,,,130.1,6,NILZZ Racing,M,,,NILZZ Racing,,,,,,,,,,,,,YUKI,,,,,,,,,,
,36,6,2:09.148,,,127.2,6,SKY MOTORSPORTS,M,,,SKY MOTORSPORTS  F111/3,,,,,,,,,,,,SKY,CHEN,,,,,,,,,,
