POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,9,13,1:32.580,-,-,167.9,21,#TeamPGZ by Red Ant Racing,PRO,,,Xavier Maassen,,,,,,,,,,,,Xavier,MAASSEN,,,NLD,MAA,,,,,,
2,17,18,1:32.608,+0.028,+0.028,167.9,18,Parker Revs Motorsport,PRO,,,Parker Revs Motorsport,,,,,,,,,,,,Harry,KING,,,GBR,KIN,,,,,,
3,15,17,1:32.868,+0.288,+0.260,167.4,24,NGT Racing,PRO,,,Glenn van Parijs,,,,,,,,,,,,Glenn,VAN PARIJS,,,BEL,PAR,,,,,,
4,10,22,1:33.063,+0.483,+0.195,167.0,23,#Team PGZ by JW RaceService,PRO,,,Huub vanEijndhoven,,,,,,,,,,,,Huub,VAN EIJNDHOVEN,,,NLD,EIJ,,,,,,
5,33,18,1:33.207,+0.627,+0.144,166.8,23,PG Motorsport,PRO,,,Felix Neuhofer,,,,,,,,,,,,Felix,NEUHOFER,,,AUS,NEU,,,,,,
6,72,11,1:33.361,+0.781,+0.154,166.5,18,Team GP Elite,PRO,,,Team GP Elite,,,,,,,,,,,,Steven,VAN RHEE,,,NLD,RHE,,,,,,
7,99,14,1:33.479,+0.899,+0.118,166.3,18,Belgium Racing,PRO,,,Nationale Autoclub Excelsior,,,,,,,,,,,,Dylan,DERDAELE,,,BEL,DER,,,,,,
8,31,17,1:33.693,+1.113,+0.214,165.9,21,PG Motorsport,PRO,,,AKF-Motorsport e.V.,,,,,,,,,,,,Sebastian,FREYMUTH,,,DEU,FRE,,,,,,
9,97,18,1:33.816,+1.236,+0.123,165.7,21,Belgium Racing,P/AM,,,Nationale Autoclub Excelsior,,,,,,,,,,,,Nicolas,SAELENS,,,BEL,SAE,,,,,,
10,69,13,1:33.830,+1.250,+0.014,165.7,21,Team GP Elite,PRO,,,Team GP Elite,,,,,,,,,,,,Thierry,VERMEULEN,,,NLD,VER,,,,,,
11,2,16,1:33.914,+1.334,+0.084,165.5,23,Team GP Elite,PRO,,,Team GP Elite,,,,,,,,,,,,Ghislain,CORDEEL,,,BEL,COR,,,,,,
12,4,16,1:33.951,+1.371,+0.037,165.5,20,Team GP Elite,P/AM,,,Team GP Elite,,,,,,,,,,,,Floris,DULLAART,,,NLD,DUL,,,,,,
13,54,13,1:34.179,+1.599,+0.228,165.1,20,Q1 Trackracing by EMG Motorsport,AM,,,Nationale Autoclub Excelsior,,,,,,,,,,,,Jan,LAURYSSEN,,,BEL,LAU,,,,,,
14,55,16,1:34.248,+1.668,+0.069,164.9,21,Q1 Trackracing by EMG Motorsport,P/AM,,,Nationale Autoclub Excelsior,,,,,,,,,,,,Filip,TEUNKENS,,,BEL,TEU,,,,,,
15,3,19,1:34.703,+2.123,+0.455,164.1,20,Team GP Elite,P/AM,,,Team GP Elite,,,,,,,,,,,,Ziad,GERIS,,,NLD,GER,,,,,,
16,53,21,1:34.744,+2.164,+0.041,164.1,22,Q1 Trackracing by EMG Motorsport,P/AM,,,Nicolas Vandierendonck,,,,,,,,,,,,Nicolas,VAN DIERENDONCK,,,BEL,DIE,,,,,,
17,20,20,1:35.127,+2.547,+0.383,163.4,20,Speedlover,AM,,,Wim Meulders,,,,,,,,,,,,Wim,MEULDERS,,,BEL,MEU,,,,,,
18,22,17,1:35.728,+3.148,+0.601,162.4,20,DUWO Racing,P/AM,,,DUWO Racing,,,,,,,,,,,,Andrey,MUKOVOZ,,,RUS,MUK,,,,,,
19,11,14,1:37.896,+5.316,+2.168,158.8,20,#Team PGZ by Red Ant Racing,AM,,,Ad Geerts,,,,,,,,,,,,Ad,GEERTS,,,BEL,GEE,,,,,,
20,21,11,1:38.893,+6.313,+0.997,157.2,23,Speedlover,AM,,,Dominique Bastien,,,,,,,,,,,,Dominique,BASTIEN,,,USA,BAS,,,,,,
