POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,17,Classified,20,30:53.058,-,-,15,1:31.959,169.0,Parker Revs Motorsport,PRO,,,Parker Revs Motorsport,,,,,,,,,,,,Harry,KING,,,GBR,KIN,,,,,,
2,15,Classified,20,30:59.479,+6.421,+6.421,17,1:32.263,168.5,NGT Racing,PRO,,,Glenn van Parijs,,,,,,,,,,,,Glenn,VAN PARIJS,,,BEL,PAR,,,,,,
3,9,Classified,20,31:01.492,+8.434,+2.013,15,1:32.322,168.4,#TeamPGZ by Red Ant Racing,PRO,,,Xavier Maassen,,,,,,,,,,,,Xavier,MAASSEN,,,NLD,MAA,,,,,,
4,72,Classified,20,31:09.230,+16.172,+7.738,11,1:32.699,167.7,Team GP Elite,PRO,,,Team GP Elite,,,,,,,,,,,,Steven,VAN RHEE,,,NLD,RHE,,,,,,
5,10,Classified,20,31:09.231,+16.173,+0.001,13,1:32.641,167.8,#Team PGZ by JW RaceService,PRO,,,Huub vanEijndhoven,,,,,,,,,,,,Huub,VAN EIJNDHOVEN,,,NLD,EIJ,,,,,,
6,33,Classified,20,31:09.326,+16.268,+0.095,18,1:32.563,167.9,PG Motorsport,PRO,,,Felix Neuhofer,,,,,,,,,,,,Felix,NEUHOFER,,,AUT,NEU,,,,,,
7,54,Classified,20,31:21.568,+28.510,+12.242,9,1:33.250,166.7,Q1 Trackracing by EMG Motorsport,AM,,,Nationale Autoclub Excelsior,,,,,,,,,,,,Jan,LAURYSSEN,,,BEL,LAU,,,,,,
8,31,Classified,20,31:25.560,+32.502,+3.992,17,1:32.610,167.9,PG Motorsport,PRO,,,AKF-Motorsport e.V.,,,,,,,,,,,,Sebastian,FREYMUTH,,,DEU,FRE,,,,,,
9,4,Classified,20,31:27.344,+34.286,+1.784,16,1:33.283,166.6,Team GP Elite,P/AM,,,Team GP Elite,,,,,,,,,,,,Floris,DULLAART,,,NLD,DUL,,,,,,
10,97,Classified,20,31:35.091,+42.033,+7.747,5,1:33.330,166.6,Belgium Racing,P/AM,,,Nationale Autoclub Excelsior,,,,,,,,,,,,Nicolas,SAELENS,,,BEL,SAE,,,,,,
11,3,Classified,20,31:36.792,+43.734,+1.701,7,1:33.577,166.1,Team GP Elite,P/AM,,,Team GP Elite,,,,,,,,,,,,Ziad,GERIS,,,NLD,GER,,,,,,
12,99,Classified,20,31:38.718,+45.660,+1.926,7,1:32.797,167.5,Belgium Racing,PRO,,,Nationale Autoclub Excelsior,,,,,,,,,,,,Dylan,DERDAELE,,,BEL,DER,,,,,,
13,53,Classified,20,31:48.656,+55.598,+9.938,19,1:34.198,165.0,Q1 Trackracing by EMG Motorsport,P/AM,,,Nicolas Vandierendonck,,,,,,,,,,,,Nicolas,VAN DIERENDONCK,,,BEL,DIE,,,,,,
14,22,Classified,20,31:49.238,+56.180,+0.582,17,1:33.676,165.9,DUWO Racing,P/AM,,,DUWO Racing,,,,,,,,,,,,Andrey,MUKOVOZ,,,RUS,MUK,,,,,,
15,20,Classified,20,31:50.802,+57.744,+1.564,9,1:33.890,165.6,Speedlover,AM,,,Wim Meulders,,,,,,,,,,,,Wim,MEULDERS,,,BEL,MEU,,,,,,
16,55,Classified,19,31:00.433,1 Lap,1 Lap,9,1:34.662,164.2,Q1 Trackracing by EMG Motorsport,P/AM,,,Nationale Autoclub Excelsior,,,,,,,,,,,,Filip,TEUNKENS,,,BEL,TEU,,,,,,
17,21,Classified,19,31:05.331,1 Lap,+4.898,15,1:36.589,160.9,Speedlover,AM,,,Dominique Bastien,,,,,,,,,,,,Dominique,BASTIEN,,,USA,BAS,,,,,,
18,11,Classified,19,31:17.655,1 Lap,+12.324,15,1:36.164,161.6,#Team PGZ by Red Ant Racing,AM,,,Ad Geerts,,,,,,,,,,,,Ad,GEERTS,,,NLD,GEE,,,,,,
,69,Not classified,3,5:12.588,,,2,1:41.515,153.1,Team GP Elite,PRO,,,Team GP Elite,,,,,,,,,,,,Thierry,VERMEULEN,,,NLD,VER,,,,,,
,2,Disqualified,20,31:22.246,,,7,1:33.259,166.7,Team GP Elite,PRO,,,Team GP Elite,,,,,,,,,,,,Ghislain,CORDEEL,,,BEL,COR,,,,,,
