POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,15,13,1:31.385,-,-,170.1,16,NGT Racing,PRO,,,Glenn van Parijs,,,,,,,,,,,,Glenn,VAN PARIJS,,,BEL,PAR,,,,,,
2,9,13,1:31.394,+0.009,+0.009,170.1,16,#TeamPGZ by Red Ant Racing,PRO,,,Xavier Maassen,,,,,,,,,,,,Xavier,MAASSEN,,,NLD,MAA,,,,,,
3,69,12,1:31.518,+0.133,+0.124,169.9,20,Team GP Elite,PRO,,,Team GP Elite,,,,,,,,,,,,Thierry,VERMEULEN,,,NLD,VER,,,,,,
4,10,18,1:31.590,+0.205,+0.072,169.7,18,#Team PGZ by JW RaceService,PRO,,,Huub vanEijndhoven,,,,,,,,,,,,Huub,VAN EIJNDHOVEN,,,NLD,EIJ,,,,,,
5,17,11,1:31.591,+0.206,+0.001,169.7,16,Parker Revs Motorsport,PRO,,,Parker Revs Motorsport,,,,,,,,,,,,Harry,KING,,,GBR,KIN,,,,,,
6,31,15,1:31.782,+0.397,+0.191,169.4,18,PG Motorsport,PRO,,,AKF-Motorsport e.V.,,,,,,,,,,,,Sebastian,FREYMUTH,,,DEU,FRE,,,,,,
7,99,13,1:31.830,+0.445,+0.048,169.3,19,Belgium Racing,PRO,,,Nationale Autoclub Excelsior,,,,,,,,,,,,Dylan,DERDAELE,,,BEL,DER,,,,,,
8,54,12,1:31.888,+0.503,+0.058,169.2,13,Q1 Trackracing by EMG Motorsport,AM,,,Nationale Autoclub Excelsior,,,,,,,,,,,,Jan,LAURYSSEN,,,BEL,LAU,,,,,,
9,72,13,1:31.922,+0.537,+0.034,169.1,19,Team GP Elite,PRO,,,Team GP Elite,,,,,,,,,,,,Steven,VAN RHEE,,,NLD,RHE,,,,,,
10,33,12,1:31.970,+0.585,+0.048,169.0,19,PG Motorsport,PRO,,,Felix Neuhofer,,,,,,,,,,,,Felix,NEUHOFER,,,AUT,NEU,,,,,,
11,97,19,1:32.430,+1.045,+0.460,168.2,20,Belgium Racing,P/AM,,,Nationale Autoclub Excelsior,,,,,,,,,,,,Nicolas,SAELENS,,,BEL,SAE,,,,,,
12,2,12,1:32.487,+1.102,+0.057,168.1,17,Team GP Elite,PRO,,,Team GP Elite,,,,,,,,,,,,Ghislain,CORDEEL,,,BEL,COR,,,,,,
13,4,13,1:32.681,+1.296,+0.194,167.7,18,Team GP Elite,P/AM,,,Team GP Elite,,,,,,,,,,,,Floris,DULLAART,,,NLD,DUL,,,,,,
14,3,15,1:32.970,+1.585,+0.289,167.2,16,Team GP Elite,P/AM,,,Team GP Elite,,,,,,,,,,,,Ziad,GERIS,,,NLD,GER,,,,,,
15,55,13,1:33.062,+1.677,+0.092,167.0,16,Q1 Trackracing by EMG Motorsport,P/AM,,,Nationale Autoclub Excelsior,,,,,,,,,,,,Filip,TEUNKENS,,,BEL,TEU,,,,,,
16,53,13,1:33.079,+1.694,+0.017,167.0,17,Q1 Trackracing by EMG Motorsport,P/AM,,,Nicolas Vandierendonck,,,,,,,,,,,,Nicolas,VAN DIERENDONCK,,,BEL,DIE,,,,,,
17,22,15,1:33.607,+2.222,+0.528,166.1,17,DUWO Racing,P/AM,,,DUWO Racing,,,,,,,,,,,,Andrey,MUKOVOZ,,,RUS,MUK,,,,,,
18,20,4,1:33.692,+2.307,+0.085,165.9,6,Speedlover,AM,,,Wim Meulders,,,,,,,,,,,,Wim,MEULDERS,,,BEL,MEU,,,,,,
19,11,14,1:35.974,+4.589,+2.282,162.0,15,#Team PGZ by Red Ant Racing,AM,,,Ad Geerts,,,,,,,,,,,,Ad,GEERTS,,,NLD,GEE,,,,,,
20,21,9,1:36.954,+5.569,+0.980,160.3,10,Speedlover,AM,,,Dominique Bastien,,,,,,,,,,,,Dominique,BASTIEN,,,USA,BAS,,,,,,
