POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,17,Classified,20,30:57.512,-,-,5,1:32.384,168.3,Parker Revs Motorsport,PRO,,,Parker Revs Motorsport,,,,,,,,,,,,Harry,KING,,,GBR,KIN,,,,,,
2,15,Classified,20,31:01.636,+4.124,+4.124,10,1:32.550,168.0,NGT Racing,PRO,,,Glenn van Parijs,,,,,,,,,,,,Glenn,VAN PARIJS,,,BEL,PAR,,,,,,
3,10,Classified,20,31:13.032,+15.520,+11.396,5,1:32.869,167.4,#Team PGZ by JW RaceService,PRO,,,Huub vanEijndhoven,,,,,,,,,,,,Huub,VAN EIJNDHOVEN,,,NLD,EIJ,,,,,,
4,99,Classified,20,31:14.855,+17.343,+1.823,18,1:32.738,167.6,Belgium Racing,PRO,,,Nationale Autoclub Excelsior,,,,,,,,,,,,Dylan,DERDAELE,,,BEL,DER,,,,,,
5,9,Classified,20,31:17.877,+20.365,+3.022,11,1:32.643,167.8,#TeamPGZ by Red Ant Racing,PRO,,,Xavier Maassen,,,,,,,,,,,,Xavier,MAASSEN,,,NLD,MAA,,,,,,
6,54,Classified,20,31:23.377,+25.865,+5.500,7,1:33.173,166.8,Q1 Trackracing by EMG Motorsport,AM,,,Nationale Autoclub Excelsior,,,,,,,,,,,,Jan,LAURYSSEN,,,BEL,LAU,,,,,,
7,72,Classified,20,31:25.319,+27.807,+1.942,8,1:33.048,167.1,Team GP Elite,PRO,,,Team GP Elite,,,,,,,,,,,,Steven,VAN RHEE,,,NLD,RHE,,,,,,
8,31,Classified,20,31:25.528,+28.016,+0.209,8,1:33.072,167.0,PG Motorsport,PRO,,,AKF-Motorsport e.V.,,,,,,,,,,,,Sebastian,FREYMUTH,,,DEU,FRE,,,,,,
9,33,Classified,20,31:27.013,+29.501,+1.485,8,1:32.870,167.4,PG Motorsport,PRO,,,Felix Neuhofer,,,,,,,,,,,,Felix,NEUHOFER,,,AUT,NEU,,,,,,
10,97,Classified,20,31:32.878,+35.366,+5.865,10,1:33.443,166.4,Belgium Racing,P/AM,,,Nationale Autoclub Excelsior,,,,,,,,,,,,Nicolas,SAELENS,,,BEL,SAE,,,,,,
11,4,Classified,20,31:35.588,+38.076,+2.710,16,1:33.741,165.8,Team GP Elite,P/AM,,,Team GP Elite,,,,,,,,,,,,Floris,DULLAART,,,NLD,DUL,,,,,,
12,69,Classified,20,31:35.632,+38.120,+0.044,10,1:32.843,167.4,Team GP Elite,PRO,,,Team GP Elite,,,,,,,,,,,,Thierry,VERMEULEN,,,NLD,VER,,,,,,
13,2,Classified,20,31:37.354,+39.842,+1.722,13,1:33.737,165.8,Team GP Elite,PRO,,,Team GP Elite,,,,,,,,,,,,Ghislain,CORDEEL,,,BEL,COR,,,,,,
14,3,Classified,20,31:43.802,+46.290,+6.448,6,1:34.185,165.0,Team GP Elite,P/AM,,,Team GP Elite,,,,,,,,,,,,Ziad,GERIS,,,NLD,GER,,,,,,
15,55,Classified,20,31:49.319,+51.807,+5.517,5,1:33.942,165.5,Q1 Trackracing by EMG Motorsport,P/AM,,,Nationale Autoclub Excelsior,,,,,,,,,,,,Filip,TEUNKENS,,,BEL,TEU,,,,,,
16,22,Classified,20,32:05.974,+1:08.462,+16.655,9,1:34.781,164.0,DUWO Racing,P/AM,,,DUWO Racing,,,,,,,,,,,,Andrey,MUKOVOZ,,,RUS,MUK,,,,,,
17,53,Classified,20,31:53.769,+1:26.257,+17.795,11,1:34.190,165.0,Q1 Trackracing by EMG Motorsport,P/AM,,,Nicolas Vandierendonck,,,,,,,,,,,,Nicolas,VAN DIERENDONCK,,,BEL,DIE,,,,,,
18,20,Classified,19,30:13.199,1 Lap,1 Lap,16,1:34.363,164.7,Speedlover,AM,,,Wim Meulders,,,,,,,,,,,,Wim,MEULDERS,,,BEL,MEU,,,,,,
19,11,Classified,19,31:04.600,1 Lap,+51.401,16,1:36.705,160.7,#Team PGZ by Red Ant Racing,AM,,,Ad Geerts,,,,,,,,,,,,Ad,GEERTS,,,NLD,GEE,,,,,,
20,21,Classified,19,32:06.018,1 Lap,+1:01.418,4,1:37.806,158.9,Speedlover,AM,,,Dominique Bastien,,,,,,,,,,,,Dominique,BASTIEN,,,USA,BAS,,,,,,
