POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,IMSA_CarId,IMSA_TeamId,IMSA_ClassId,IMSA_CarTypeId,IMSA_ManufacturerId,IMSA_TireId,IMSA_SponsorId,IMSA_EventEntryId,*Extra 9,*Extra 10,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_IMSA_DriverId,DRIVER_IMSA_DriverPlugId,DRIVER_IMSA_DriverRatingLong,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,13,Classified,17,45:02.888,-,-,17,2:28.969,133.2,Robert Noaker Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Robert,Noaker,,"Duncannon, PA",USA,,,,,,,
2,26,Classified,17,45:21.528,+18.640,+18.640,16,2:30.574,131.8,Paley Motorsport,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Sam,Paley,Silver,"Villa Hills, KY",USA,,,,,,,
3,91,Classified,17,45:33.736,+30.848,+12.208,17,2:31.017,131.4,Robert Noaker Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Britt,Casey,Silver,Inverness,USA,,,,,,,
4,22,Classified,17,45:35.950,+33.062,+2.214,16,2:30.944,131.5,TechSport,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Devin,Anderson,,"Mooresville, NC",USA,,,,,,,
5,7,Classified,17,45:42.022,+39.134,+6.072,16,2:31.585,130.9,Robert Noaker Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Sandy,Satullo,,Hillsboro Beach,USA,,,,,,,
6,34,Classified,17,45:49.763,+46.875,+7.741,17,2:32.630,130.0,Paley Motorsport,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Will,Lucas,,"Suwanee, GA",USA,,,,,,,
7,15,Classified,17,45:59.794,+56.906,+10.031,17,2:32.425,130.2,TechSport,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Alfonso,Diaz,,"Guaynabo, Puerto Rico",PRI,,,,,,,
8,48,Classified,17,46:02.009,+59.121,+2.215,16,2:32.963,129.7,McCumbee McAleer Racing,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Zachry,Lee,,"San Antonio, TX",USA,,,,,,,
9,18,Classified,17,46:03.469,+1:00.581,+1.460,16,2:33.024,129.7,McCumbee McAleer Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Marcos,Vento,Silver,"San Juan, PR",PRI,,,,,,,
10,21,Classified,17,46:28.005,+1:25.117,+24.536,17,2:32.931,129.8,TechSport,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Colin,Harrison,Silver,Cleveland,USA,,,,,,,
11,33,Classified,17,46:29.249,+1:26.361,+1.244,17,2:32.865,129.8,Spark Performance,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Alex,Bachoura,,"Houston, TX",USA,,,,,,,
12,63,Classified,17,46:40.220,+1:37.332,+10.971,14,2:35.368,127.7,Robert Noaker Racing,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Joseph,Dederichs,,"FORT WORTH, TX",USA,,,,,,,
13,8,Classified,17,46:56.554,+1:53.666,+16.334,16,2:35.681,127.5,Competition Motors,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Tom,Tait,Bronze,"Paradise Valley, AZ",USA,,,,,,,
14,98,Classified,17,47:05.009,+2:02.121,+8.455,15,2:36.772,126.6,Automatic Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Tate,Pritt,,"Creston, CA",USA,,,,,,,
15,84,Classified,17,47:27.553,+2:24.665,+22.544,15,2:38.490,125.2,Torre Racing,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Paolo,Salvatore,,"San Antonio, TX",USA,,,,,,,
16,10,Classified,17,47:38.002,+2:35.114,+10.449,17,2:38.591,125.1,NV Autosport,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Stephen,Vajda,,"Easton, PA",USA,,,,,,,
