POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,IMSA_CarId,IMSA_TeamId,IMSA_ClassId,IMSA_CarTypeId,IMSA_ManufacturerId,IMSA_TireId,IMSA_SponsorId,IMSA_EventEntryId,*Extra 9,*Extra 10,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_IMSA_DriverId,DRIVER_IMSA_DriverPlugId,DRIVER_IMSA_DriverRatingLong,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,13,5,2:20.610,-,-,141.1,11,Robert Noaker Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Robert,Noaker,,"Duncannon, PA",USA,,,,,,,
2,33,8,2:21.417,+0.807,+0.807,140.3,12,Spark Performance,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Alex,Bachoura,,"Houston, TX",USA,,,,,,,
3,18,9,2:21.418,+0.808,+0.001,140.3,11,McCumbee McAleer Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Marcos,Vento,Silver,"San Juan, PR",PRI,,,,,,,
4,22,8,2:21.514,+0.904,+0.096,140.2,11,TechSport,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Devin,Anderson,,"Mooresville, NC",USA,,,,,,,
5,48,10,2:22.177,+1.567,+0.663,139.6,10,McCumbee McAleer Racing,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Zachry,Lee,,"San Antonio, TX",USA,,,,,,,
6,26,7,2:22.539,+1.929,+0.362,139.2,7,Paley Motorsport,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Sam,Paley,Silver,"Villa Hills, KY",USA,,,,,,,
7,91,10,2:23.046,+2.436,+0.507,138.7,12,Robert Noaker Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Britt,Casey,Silver,Inverness,USA,,,,,,,
8,15,10,2:23.331,+2.721,+0.285,138.5,11,TechSport,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Alfonso,Diaz,,"Guaynabo, Puerto Rico",PRI,,,,,,,
9,21,5,2:23.395,+2.785,+0.064,138.4,8,TechSport,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Colin,Harrison,Silver,Cleveland,USA,,,,,,,
10,7,6,2:23.492,+2.882,+0.097,138.3,11,Robert Noaker Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Sandy,Satullo,,Hillsboro Beach,USA,,,,,,,
11,98,8,2:23.906,+3.296,+0.414,137.9,12,Automatic Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Tate,Pritt,,"Creston, CA",USA,,,,,,,
12,34,8,2:24.244,+3.634,+0.338,137.6,9,Paley Motorsport,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Will,Lucas,,"Suwanee, GA",USA,,,,,,,
13,10,6,2:24.904,+4.294,+0.660,137.0,11,NV Autosport,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Stephen,Vajda,,"Easton, PA",USA,,,,,,,
14,8,6,2:25.101,+4.491,+0.197,136.8,10,Competition Motors,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Tom,Tait,Bronze,"Paradise Valley, AZ",USA,,,,,,,
15,84,8,2:27.199,+6.589,+2.098,134.8,10,Torre Racing,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Paolo,Salvatore,,"San Antonio, TX",USA,,,,,,,
16,63,11,2:27.506,+6.896,+0.307,134.5,11,Robert Noaker Racing,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Joseph,Dederichs,,"FORT WORTH, TX",USA,,,,,,,
