POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,IMSA_CarId,IMSA_TeamId,IMSA_ClassId,IMSA_CarTypeId,IMSA_ManufacturerId,IMSA_TireId,IMSA_SponsorId,IMSA_EventEntryId,*Extra 9,*Extra 10,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_IMSA_DriverId,DRIVER_IMSA_DriverPlugId,DRIVER_IMSA_DriverRatingLong,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,13,Classified,15,45:30.183,-,-,5,2:29.732,132.5,Robert Noaker Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Robert,Noaker,,"Duncannon, PA",USA,,,,,,,
2,26,Classified,15,45:39.948,+9.765,+9.765,12,2:32.497,130.1,Paley Motorsport,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Sam,Paley,Silver,"Villa Hills, KY",USA,,,,,,,
3,22,Classified,15,45:42.334,+12.151,+2.386,12,2:32.532,130.1,TechSport,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Devin,Anderson,,"Mooresville, NC",USA,,,,,,,
4,7,Classified,15,45:42.746,+12.563,+0.412,13,2:32.700,130.0,Robert Noaker Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Sandy,Satullo,,Hillsboro Beach,USA,,,,,,,
5,34,Classified,15,45:52.600,+22.417,+9.854,11,2:34.919,128.1,Paley Motorsport,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Will,Lucas,,"Suwanee, GA",USA,,,,,,,
6,18,Classified,15,45:53.411,+23.228,+0.811,5,2:34.496,128.5,McCumbee McAleer Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Marcos,Vento,Silver,"San Juan, PR",PRI,,,,,,,
7,48,Classified,15,45:59.259,+29.076,+5.848,11,2:35.892,127.3,McCumbee McAleer Racing,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Zachry,Lee,,"San Antonio, TX",USA,,,,,,,
8,98,Classified,15,45:59.692,+29.509,+0.433,11,2:35.859,127.3,Automatic Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Tate,Pritt,,"Creston, CA",USA,,,,,,,
9,21,Classified,15,46:00.047,+29.864,+0.355,14,2:35.229,127.9,TechSport,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Colin,Harrison,Silver,Cleveland,USA,,,,,,,
10,8,Classified,15,46:09.392,+39.209,+9.345,15,2:37.963,125.6,Competition Motors,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Tom,Tait,Bronze,"Paradise Valley, AZ",USA,,,,,,,
11,84,Classified,15,46:09.843,+39.660,+0.451,11,2:37.882,125.7,Torre Racing,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Paolo,Salvatore,,"San Antonio, TX",USA,,,,,,,
12,10,Classified,15,46:13.439,+43.256,+3.596,12,2:38.020,125.6,NV Autosport,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Stephen,Vajda,,"Easton, PA",USA,,,,,,,
13,15,Classified,11,35:31.203,4 Laps,4 Laps,6,2:35.069,128.0,TechSport,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Alfonso,Diaz,,"Guaynabo, Puerto Rico",PRI,,,,,,,
14,63,Classified,6,19:34.665,9 Laps,5 Laps,6,2:38.057,125.6,Robert Noaker Racing,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Joseph,Dederichs,,"FORT WORTH, TX",USA,,,,,,,
15,33,Classified,2,6:58.304,13 Laps,4 Laps,0,,,Spark Performance,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Alex,Bachoura,,"Houston, TX",USA,,,,,,,
16,91,Classified,1,3:56.769,14 Laps,1 Lap,0,,,Robert Noaker Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Britt,Casey,Silver,Inverness,USA,,,,,,,
