POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,IMSA_CarId,IMSA_TeamId,IMSA_ClassId,IMSA_CarTypeId,IMSA_ManufacturerId,IMSA_TireId,IMSA_SponsorId,IMSA_EventEntryId,*Extra 9,*Extra 10,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_IMSA_DriverId,DRIVER_IMSA_DriverPlugId,DRIVER_IMSA_DriverRatingLong,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,13,2,2:16.519,-,-,145.4,5,Robert Noaker Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Robert,Noaker,,"Duncannon, PA",USA,,,,,,,
2,18,2,2:17.737,+1.218,+1.218,144.1,7,McCumbee McAleer Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Marcos,Vento,Silver,"San Juan, PR",PRI,,,,,,,
3,22,5,2:17.762,+1.243,+0.025,144.1,7,TechSport,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Devin,Anderson,,"Mooresville, NC",USA,,,,,,,
4,26,2,2:18.487,+1.968,+0.725,143.3,6,Paley Motorsport,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Sam,Paley,Silver,"Villa Hills, KY",USA,,,,,,,
5,91,2,2:18.611,+2.092,+0.124,143.2,7,Robert Noaker Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Britt,Casey,Silver,Inverness,USA,,,,,,,
6,7,3,2:18.679,+2.160,+0.068,143.1,7,Robert Noaker Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Sandy,Satullo,,Hillsboro Beach,USA,,,,,,,
7,48,2,2:18.851,+2.332,+0.172,142.9,6,McCumbee McAleer Racing,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Zachry,Lee,,"San Antonio, TX",USA,,,,,,,
8,34,4,2:18.926,+2.407,+0.075,142.9,6,Paley Motorsport,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Will,Lucas,,"Suwanee, GA",USA,,,,,,,
9,33,2,2:19.916,+3.397,+0.990,141.8,6,Spark Performance,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Alex,Bachoura,,"Houston, TX",USA,,,,,,,
10,15,7,2:19.939,+3.420,+0.023,141.8,7,TechSport,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Alfonso,Diaz,,"Guaynabo, Puerto Rico",PRI,,,,,,,
11,21,5,2:20.196,+3.677,+0.257,141.6,7,TechSport,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Colin,Harrison,Silver,Cleveland,USA,,,,,,,
12,98,4,2:20.914,+4.395,+0.718,140.8,5,Automatic Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Tate,Pritt,,"Creston, CA",USA,,,,,,,
13,8,3,2:22.008,+5.489,+1.094,139.8,6,Competition Motors,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Tom,Tait,Bronze,"Paradise Valley, AZ",USA,,,,,,,
14,63,3,2:22.174,+5.655,+0.166,139.6,7,Robert Noaker Racing,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Joseph,Dederichs,,"FORT WORTH, TX",USA,,,,,,,
15,84,2,2:22.389,+5.870,+0.215,139.4,6,Torre Racing,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Paolo,Salvatore,,"San Antonio, TX",USA,,,,,,,
16,10,3,2:23.405,+6.886,+1.016,138.4,6,NV Autosport,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Stephen,Vajda,,"Easton, PA",USA,,,,,,,
