POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,14,18,2:20.437,-,-,179.5,19,Fach Auto Tech,,,,Porsche 911 GT3 Cup (Type 992),,,,,,,,,,,,Morris,SCHURING,,,NLD,MSC,,,,,,
2,25,14,2:20.817,+0.380,+0.380,179.1,17,Team GP Elite,,,,Porsche 911 GT3 Cup (Type 992),,,,,,,,,,,,Larry,TEN VOORDE,,,NLD,LTV,,,,,,
3,77,15,2:20.944,+0.507,+0.127,178.9,18,Huber Racing,,,,Porsche 911 GT3 Cup (Type 992),,,,,,,,,,,,Leon,KÖHLER,,,DEU,LKH,,,,,,
4,19,19,2:20.948,+0.511,+0.004,178.9,21,Allied-Racing,,,,Porsche 911 GT3 Cup (Type 992),,,,,,,,,,,,Harry,KING,,,GBR,KIN,,,,,,
5,99,16,2:21.227,+0.790,+0.279,178.5,19,Allied-Racing,,,,Porsche 911 GT3 Cup (Type 992),,,,,,,,,,,,Bastian,BUUS,,,DNK,BUS,,,,,,
6,6,2,2:21.233,+0.796,+0.006,178.5,17,Allied-Racing,R,,,Porsche 911 GT3 Cup (Type 992),,,,,,,,,,,,Vincent,ANDRONACO,,,DEU,AND,,,,,,
7,8,17,2:21.502,+1.065,+0.269,178.2,19,Fach Auto Tech,,,,Porsche 911 GT3 Cup (Type 992),,,,,,,,,,,,Alexander,FACH,,,CHE,FAC,,,,,,
8,12,15,2:21.802,+1.365,+0.300,177.8,20,Scherer Sport PHX,R,,,Porsche 911 GT3 Cup (Type 992),,,,,,,,,,,,Harri,JONES,,,AUS,JON,,,,,,
9,87,18,2:22.192,+1.755,+0.390,177.3,21,Team Huber Racing,,,,Porsche 911 GT3 Cup (Type 992),,,,,,,,,,,,Ariel,LEVI,,,ISR,LEV,,,,,,
10,13,3,2:22.242,+1.805,+0.050,177.3,16,Huber Racing,,,,Porsche 911 GT3 Cup (Type 992),,,,,,,,,,,,Alexander,TAUSCHER,,,DEU,TAU,,,,,,
