POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,40,15,2:03.191,-,-,158.2,16,DHL Team,Pro,R,,Porsche 992 GT3 Cup,,,,,,,,,,,,Janne,Stiak,,,DEU,,,,,,,
2,55,15,2:03.527,+0.336,+0.336,157.7,15,Cartech Motorsport,Pro,R,,Porsche 992 GT3 Cup,,,,,,,,,,,,Colin,Boenighausen,,,DEU,,,,,,,
3,50,13,2:03.846,+0.655,+0.319,157.3,14,Porsche Junior GB,Pro,R,,Porsche 992 GT3 Cup,,,,,,,,,,,,James,Wallis,,,GBR,,,,,,,
4,23,16,2:04.536,+1.345,+0.690,156.4,18,Saudi Racing,ProAm,,GCC,Porsche 992 GT3 Cup,,,,,,,,,,,,Khaled,Alahmadi,,,SAU,,,,,,,
5,3,16,2:04.576,+1.385,+0.040,156.4,19,Saudi Racing,ProAm,R,GCC,Porsche 992 GT3 Cup,,,,,,,,,,,,Saud,Al Saud,,,SAU,,,,,,,
6,52,14,2:05.061,+1.870,+0.485,155.8,16,Proton Huber Competition,Pro,,,Porsche 992 GT3 Cup,,,,,,,,,,,,Angus,Whiteside,,,GBR,,,,,,,
7,5,14,2:05.160,+1.969,+0.099,155.7,14,Team GP Elite,ProAm,,,Porsche 992 GT3 Cup,,,,,,,,,,,,Soeren,Spreng,,,DEU,,,,,,,
8,44,14,2:05.399,+2.208,+0.239,155.4,15,Team GP Elite,ProAm,,,Porsche 992 GT3 Cup,,,,,,,,,,,,Thomas,Kiefer,,,DEU,,,,,,,
9,66,12,2:05.690,+2.499,+0.291,155.0,15,Seven X Seven,Masters,,,Porsche 992 GT3 Cup,,,,,,,,,,,,,Bankcy,,,JPN,,,,,,,
10,27,17,2:05.800,+2.609,+0.110,154.9,18,MVII RACING LLC,Masters,,,Porsche 992 GT3 Cup,,,,,,,,,,,,Mike,Mim,,,BGR,,,,,,,
11,17,15,2:05.866,+2.675,+0.066,154.8,18,M3L Team,Masters,,,Porsche 992 GT3 Cup,,,,,,,,,,,,Mark J.,Thomas,,,CAN,,,,,,,
12,56,14,2:06.091,+2.900,+0.225,154.5,17,AV Racing,ProAm,R,,Porsche 992 GT3 Cup,,,,,,,,,,,,Alexandra,Vateva,,,BGR,,,,,,,
13,85,14,2:06.305,+3.114,+0.214,154.3,16,GT Sports Technology,Masters,,,Porsche 992 GT3 Cup,,,,,,,,,,,,Petr,Brecka,,,CZE,,,,,,,
14,7,6,2:09.407,+6.216,+3.102,150.6,17,Rabdan Motorsport,ProAm,,GCC,Porsche 992 GT3 Cup,,,,,,,,,,,,Saif,Al Ameri,,,UAE,,,,,,,
15,10,16,2:09.654,+6.463,+0.247,150.3,17,Proton Huber Competition,Masters,,,Porsche 992 GT3 Cup,,,,,,,,,,,,Krister,Andero,,,SWE,,,,,,,
