POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,66,Classified,10,21:05.230,-,-,6,1:51.442,158.6,AMGV,,,,,,,,,,,,,,,,Jonathan,DESSENS,,,FRA,,,,,,,
2,24,Classified,10,21:05.479,+0.249,+0.249,9,1:50.972,159.3,HMC RACING,,,,,,,,,,,,,,,,Xavier,FOUINEAU,,,FRA,,,,,,,
3,27,Classified,10,21:10.105,+4.875,+4.626,8,1:51.923,157.9,HMC RACING,,,,,,,,,,,,,,,,Bouhet,JESSE,,,FRA,,,,,,,
4,18,Classified,10,21:12.772,+7.542,+2.667,7,1:52.350,157.3,SCIABBARRASI COMPETITION,G,,,,,,,,,,,,,,,Marcel,SCIABBARRASI,,,ITA,,,,,,,
5,9,Classified,10,21:16.588,+11.358,+3.816,8,1:52.990,156.4,BELT RACING,G,,,,,,,,,,,,,,,Edouard,HERY,,,FRA,,,,,,,
6,279,Classified,10,21:17.233,+12.003,+0.645,9,1:52.877,156.6,HMC RACING,,,,,,,,,,,,,,,,Eric,SOARES,,,FRA,,,,,,,
7,22,Classified,10,21:18.909,+13.679,+1.676,9,1:53.574,155.6,HMC RACING,G,,,,,,,,,,,,,,,Christian,CAMBOULIVE,,,FRA,,,,,,,
8,249,Classified,10,21:19.299,+14.069,+0.390,9,1:52.847,156.6,KAIROS RACING,,,,,,,,,,,,,,,,David,BRAUNSTEIN,,,FRA,,,,,,,
9,262,Classified,10,21:23.506,+18.276,+4.207,6,1:53.878,155.2,HMC RACING,G,,,,,,,,,,,,,,,Remy,BROUARD,,,FRA,,,,,,,
10,29,Classified,10,21:26.642,+21.412,+3.136,9,1:54.474,154.4,HMC RACING,,,,,,,,,,,,,,,,Axel,DOLHEM,,,FRA,,,,,,,
11,49,Classified,10,21:27.388,+22.158,+0.746,9,1:53.476,155.7,BELT RACING,,,,,,,,,,,,,,,,Naar,DEKEL,,,ISR,,,,,,,
12,35,Classified,10,21:27.456,+22.226,+0.068,3,1:53.747,155.4,YO,G,,,,,,,,,,,,,,,Yves,ORHANT,,,FRA,,,,,,,
13,26,Classified,10,21:28.301,+23.071,+0.845,7,1:53.750,155.4,HMC RACING,G,,,,,,,,,,,,,,,Frank,LEFEEVRE,,,FRA,,,,,,,
14,64,Classified,10,21:30.361,+25.131,+2.060,7,1:54.764,154.0,AMGV,,,,,,,,,,,,,,,,Etienne,CHAMPETIER,,,FRA,,,,,,,
15,23,Classified,10,21:39.121,+33.891,+8.760,7,1:55.361,153.2,HMC RACING,G,,,,,,,,,,,,,,,Olivier,GAUCLERE,,,FRA,,,,,,,
16,955,Classified,10,21:47.670,+42.440,+8.549,10,1:57.086,150.9,WILLI MOTORSPORT,,,,,,,,,,,,,,,,Catalin Cedric,GHIGEA,,,ROU,,,,,,,
17,83,Classified,10,21:51.561,+46.331,+3.891,3,1:57.872,149.9,AMGV,,,,,,,,,,,,,,,,Dominique,ARNOUX,,,FRA,,,,,,,
18,8,Classified,10,22:08.889,+1:03.659,+17.328,7,1:53.914,155.1,SCIABBARRASI COMPETITION,,,,,,,,,,,,,,,,Serge,MESROBIAN,,,FRA,,,,,,,
19,222,Classified,3,5:41.531,7 Laps,7 Laps,3,1:52.189,157.5,BELT RACING,J,,,,,,,,,,,,,,,Gregory,DE SYBOURG,,,CHE,,,,,,,
20,28,Classified,3,5:56.944,7 Laps,+15.413,2,1:55.791,152.6,HMC RACING,G,,,,,,,,,,,,,,,Claude,ROLLAND,,,FRA,,,,,,,
21,7,Classified,3,5:59.855,7 Laps,+2.911,2,1:55.605,152.9,AMGV,,,,,,,,,,,,,,,,David,LITZISTORF,,,CHE,,,,,,,
