POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,15,9,1:49.650,-,-,153.5,10,NGT Racing,PRO,,,,,,,,,,,,,,,Glenn,VAN PARIJS,,,BEL,PAR,,,,,,
2,2,8,1:49.752,+0.102,+0.102,153.3,10,Team GP Elite,PRO,,,,,,,,,,,,,,,Ghislain,CORDEEL,,,BEL,COR,,,,,,
3,9,12,1:49.908,+0.258,+0.156,153.1,14,Revs Motorsport,PRO,R,,,,,,,,,,,,,,Rik,KOEN,,,NLD,KOE,,,,,,
4,28,10,1:50.085,+0.435,+0.177,152.9,13,TeamPGZ by RedAnt Racing,PRO,,,,,,,,,,,,,,,Xavier,MAASSEN,,,NLD,MAA,,,,,,
5,777,14,1:50.497,+0.847,+0.412,152.3,15,TeamPGZ by RedAnt Racing,PRO,,,,,,,,,,,,,,,Sam,DEJONGHE,,,BEL,DEJ,,,,,,
6,54,6,1:50.609,+0.959,+0.112,152.2,16,Q1 Trackracing,PRO-AM,,,,,,,,,,,,,,,Jan,LAURYSSEN,,,BEL,LAU,,,,,,
7,14,11,1:50.913,+1.263,+0.304,151.7,14,JW Raceservice,PRO,R,,,,,,,,,,,,,,Lucas,VAN EIJNDHOVEN,,,NLD,VAN,,,,,,
8,33,11,1:51.080,+1.430,+0.167,151.5,15,DUWO Racing,AM,,,,,,,,,,,,,,,Sebastien,LAJOUX,,,FRA,LAJ,,,,,,
9,13,3,1:51.087,+1.437,+0.007,151.5,12,Baporo Motorsport,AM,,,,,,,,,,,,,,,Jaume,FONT,,,ESP,FON,,,,,,
10,48,6,1:51.286,+1.636,+0.199,151.2,16,DUWO Racing,AM,G,,,,,,,,,,,,,,Giovanni,SCAMARDI,,,BEL,SCA,,,,,,
11,53,11,1:51.494,+1.844,+0.208,150.9,12,Q1 Trackracing,AM,G,,,,,,,,,,,,,,Nicolas,VANDIERENDONCK,,,BEL,DIE,,,,,,
12,24,11,1:51.536,+1.886,+0.042,150.9,16,NGT Racing,AM,,,,,,,,,,,,,,,Stijn,LOWETTE,,,BEL,LOW,,,,,,
13,21,12,1:51.923,+2.273,+0.387,150.4,16,TeamPGZ by RedAnt Racing,PRO-AM,,,,,,,,,,,,,,,Tom,BOONEN,,,BEL,BOO,,,,,,
14,78,16,1:51.937,+2.287,+0.014,150.4,17,Belgium Racing Team,PRO,G,,,,,,,,,,,,,,Michiel,HAVERANS,,,BEL,HAV,,,,,,
15,25,11,1:52.120,+2.470,+0.183,150.1,12,JW Raceservice,AM,,,,,,,,,,,,,,,Sven,VAN LAERE,,,BEL,LAE,,,,,,
16,88,14,1:52.178,+2.528,+0.058,150.0,17,Proton Competition,PRO,G,,,,,,,,,,,,,,Horst Felix,FELBERMAYR,,,AUT,FEL,,,,,,
17,7,15,1:52.402,+2.752,+0.224,149.7,15,Speedlover,PRO-AM,,,,,,,,,,,,,,,Didier,GLORIEUX,,,BEL,GLO,,,,,,
18,911,11,1:53.510,+3.860,+1.108,148.3,16,TeamPGZ by RedAnt Racing,AM,,,,,,,,,,,,,,,Luc,VANDERFEESTEN,,,NLD,VDF,,,,,,
19,17,3,1:55.736,+6.086,+2.226,145.4,9,Speedlover,AM,G,,,,,,,,,,,,,,Dominique,BASTIEN,,,USA,BAS,,,,,,
20,917,3,2:07.205,+17.555,+11.469,132.3,14,Revs Motorsport,AM,,,,,,,,,,,,,,,Jeroen,KREEFT,,,NLD,KRE,,,,,,
