POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,24,7,1:51.043,-,-,151.6,9,HMC RACING,,,,,,,,,,,,,,,,Xavier,FOUINEAU,,,FRA,,,,,,,
2,66,7,1:51.541,+0.498,+0.498,150.9,10,AMGV,,,,,,,,,,,,,,,,Jonathan,DESSENS,,,FRA,,,,,,,
3,2,6,1:51.622,+0.579,+0.081,150.8,7,ECURIE FRANCAISE,E,,,,,,,,,,,,,,,Romain,BOECKLER,,,FRA,,,,,,,
4,49,8,1:52.115,+1.072,+0.493,150.1,9,BELT RACING,,,,,,,,,,,,,,,,Dekel,NAAR,,,ISR,,,,,,,
5,27,8,1:52.158,+1.115,+0.043,150.1,9,HMC RACING,,,,,,,,,,,,,,,,Bouhet,JESSE,,,FRA,,,,,,,
6,7,8,1:52.376,+1.333,+0.218,149.8,9,AMGV,,,,,,,,,,,,,,,,David,LITZISTORF,,,CHE,,,,,,,
7,26,7,1:53.028,+1.985,+0.652,148.9,9,HMC RACING,G,,,,,,,,,,,,,,,Frank,LEFEVRE,,,FRA,,,,,,,
8,18,8,1:53.225,+2.182,+0.197,148.6,8,SCIABBARRASI COMPETITION,G,,,,,,,,,,,,,,,Marcel,SCIABBARRASI,,,FRA,,,,,,,
9,222,8,1:53.523,+2.480,+0.298,148.3,9,BELT RACING,E,,,,,,,,,,,,,,,Gregory,DE SYBOURG,,,CHE,,,,,,,
10,22,6,1:53.566,+2.523,+0.043,148.2,9,HMC RACING,G,,,,,,,,,,,,,,,Christian,CAMBOULIVE,,,FRA,,,,,,,
11,9,3,1:53.750,+2.707,+0.184,148.0,3,BELT RACING,G,,,,,,,,,,,,,,,Edouard,HERY,,,FRA,,,,,,,
12,29,8,1:54.124,+3.081,+0.374,147.5,9,HMC RACING,,,,,,,,,,,,,,,,Axel,DOLHEM,,,FRA,,,,,,,
13,262,3,1:54.196,+3.153,+0.072,147.4,9,HMC RACING,G,,,,,,,,,,,,,,,Remy,BROUARD,,,FRA,,,,,,,
14,290,6,1:54.201,+3.158,+0.005,147.4,9,HMC RACING,,,,,,,,,,,,,,,,Nicolas,STURM,,,FRA,,,,,,,
15,64,7,1:54.360,+3.317,+0.159,147.2,9,AMGV,,,,,,,,,,,,,,,,Etienne,CHAMPETIER,,,FRA,,,,,,,
16,21,7,1:54.662,+3.619,+0.302,146.8,9,HMC RACING,,,,,,,,,,,,,,,,Bruno,FRETIN,,,FRA,,,,,,,
17,279,6,1:54.938,+3.895,+0.276,146.4,9,HMC RACING,,,,,,,,,,,,,,,,Eric,SOARES,,,FRA,,,,,,,
18,111,8,1:55.021,+3.978,+0.083,146.3,9,ECURIE FRANCAISE,,,,,,,,,,,,,,,,Paul,FILLOT,,,FRA,,,,,,,
19,23,8,1:55.034,+3.991,+0.013,146.3,9,HMC RACING,G,,,,,,,,,,,,,,,Olivier,GAUCLERE,,,FRA,,,,,,,
20,277,7,1:55.159,+4.116,+0.125,146.1,9,DAFA RACING,,,,,,,,,,,,,,,,Jean Christophe,ROBIN,,,FRA,,,,,,,
21,35,7,1:55.523,+4.480,+0.364,145.7,9,YO,G,,,,,,,,,,,,,,,Yves,ORHANT,,,FRA,,,,,,,
22,8,3,1:57.311,+6.268,+1.788,143.5,9,SCIABBARRASI COMPETITION,,,,,,,,,,,,,,,,Serge,MESROBIAN,,,FRA,,,,,,,
23,28,7,1:57.431,+6.388,+0.120,143.3,9,HMC RACING,G,,,,,,,,,,,,,,,Jean Claude,ROLLAND,,,FRA,,,,,,,
24,83,7,1:57.640,+6.597,+0.209,143.1,9,AMGV,G,,,,,,,,,,,,,,,Dominique,ARNOUX,,,FRA,,,,,,,
25,294,8,1:58.077,+7.034,+0.437,142.5,9,PEGASUS RACING,G,,,,,,,,,,,,,,,Alain,MEYER,,,FRA,,,,,,,
26,249,3,2:04.806,+13.763,+6.729,134.8,9,KAIROS RACING,,,,,,,,,,,,,,,,Fabien,BORNANCIN,,,FRA,,,,,,,
