POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,76,Classified,10,21:23.301,-,-,9,2:07.559,131.9,VPS RACING,J,,,MITJET 2L,,,,,,,,,,,,Marius,FOSSARD,,,FRA,,,,,,,
2,84,Classified,10,21:25.794,+2.493,+2.493,9,2:07.594,131.9,K-WORX,,,,MITJET 2L,,,,,,,,,,,,Benoit,CASTAGNE,,,FRA,,,,,,,
3,137,Classified,10,21:26.033,+2.732,+0.239,9,2:07.740,131.8,DS EVENT,,,,MITJET 2L,,,,,,,,,,,,Xavier,DAYRAUT,,,FRA,,,,,,,
4,99,Classified,10,21:35.558,+12.257,+9.525,2,2:08.324,131.2,MV2S RACING,J,,,MITJET 2L,,,,,,,,,,,,Matteo,SALOMONE,,,FRA,,,,,,,
5,783,Classified,10,21:35.957,+12.656,+0.399,2,2:08.463,131.0,K-WORX,J,,,MITJET 2L,,,,,,,,,,,,Florian,ROUSEAU-RICCI,,,FRA,,,,,,,
6,27,Classified,10,21:36.419,+13.118,+0.462,2,2:08.134,131.3,K-WORX,J,,,MITJET 2L,,,,,,,,,,,,Younes,KARBID,,,FRA,,,,,,,
7,23,Classified,10,21:36.796,+13.495,+0.377,9,2:08.400,131.1,GENERATION STUNT,G,,,MITJET 2L,,,,,,,,,,,,Jeremy,LOURENCO,,,FRA,,,,,,,
8,81,Classified,10,21:37.934,+14.633,+1.138,8,2:07.894,131.6,DS EVENT,G,,,MITJET 2L,,,,,,,,,,,,Sebastien,LOIRET-FOURNIER,,,FRA,,,,,,,
9,78,Classified,10,21:39.024,+15.723,+1.090,8,2:08.484,131.0,VPS RACING,J,,,MITJET 2L,,,,,,,,,,,,Edgar,MALOIGNE,,,FRA,,,,,,,
10,139,Classified,10,21:43.850,+20.549,+4.826,7,2:08.329,131.1,DS EVENT,,,,MITJET 2L,,,,,,,,,,,,Andréa,DELDOSSI,,,FRA,,,,,,,
11,30,Classified,10,21:46.172,+22.871,+2.322,10,2:09.572,129.9,RACING SPIRIT OF LEMAN,F,,,MITJET 2L,,,,,,,,,,,,Karen,GAILLARD,,,CHE,,,,,,,
