POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,85,Classified,14,25:28.756,-,-,14,1:47.624,164.2,SUD MOTORSPORT,FX1,F3B,,Dallara F308,,,,,,,,,,,,Daniele,SIANO,,,ITA,,,,,,,
2,5,Classified,14,25:57.455,+28.699,+28.699,10,1:46.509,165.9,BATTAGLIA RACING CAR,FX1,G1,,Griiip G1,,,,,,,,,,,,Enrico,BATTAGLIA,,,ITA,,,,,,,
3,21,Classified,14,26:04.504,+35.748,+7.049,14,1:48.527,162.8,BATTAGLIA RACING CAR,FX1,G1,,Griiip G1,,,,,,,,,,,,Federico,BERNONI,,,ITA,,,,,,,
4,19,Classified,14,26:09.806,+41.050,+5.302,10,1:50.126,160.5,G MOTORSPORT,FX2,F.Renault,,Renault,,,,,,,,,,,,Vito,DI BELLO,,,ITA,,,,,,,
5,88,Classified,14,26:26.251,+57.495,+16.445,14,1:51.165,159.0,TC RACING,T014,Silver,,Tatuus T014,,,,,,,,,,,,Andrea,GALLUZZI / TARANI,,,ITA,,,,,,,
6,30,Classified,14,27:01.693,+1:32.937,+35.442,14,1:48.758,162.5,ALPHA TEAM RACING,FX1 Elite,F. Regional,,Tatuus F. Regional,,,,,,,,,,,,Masci,ANDREA,,,ITA,,,,,,,
7,1,Classified,14,27:10.350,+1:41.594,+8.657,14,1:52.263,157.4,BATTAGLIA RACING CAR,FX1,G1,,Griiip G1,,,,,,,,,,,,Federico,CROZZOLO,,,ITA,,,,,,,
,69,Not classified,4,7:24.136,,,4,1:49.080,162.0,-,T014,PRO,,Tatuus T014,,,,,,,,,,,,Salvatore,LIOTTI,,,ITA,,,,,,,
,34,Not classified,3,5:29.587,,,2,1:48.019,163.6,SUD MOTORSPORT,FX1,F3B,,Dallara F310,,,,,,,,,,,,Giuseppe,MARINARO,,,ITA,,,,,,,
,33,Not classified,0,,,,0,,,ALPHA TEAM RACING,FX1 Elite,F. Regional,,Tatuus F. Regional,,,,,,,,,,,,Sandro,DE VIRGILIS,,,ITA,,,,,,,
,333,Not classified,0,,,,0,,,HARP RACING,T014,Silver / Over,,Tatuus T014,,,,,,,,,,,,Luca,UNGARO,,,ITA,,,,,,,
