POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,1,4,2:05.864,-,-,140.4,7,RANGONI,ESP,CCS,,,,,,,,,,,,,,Gabriele,TORELLI,,,ITA,,,,,,,
2,43,5,2:05.950,+0.086,+0.086,140.3,7,RANGONI,ITA,CCS,CCS-JUN/ITA-JUN,,,,,,,,,,,,,Damiano,PUCCETTI,,,ITA,,,,,,,
3,227,5,2:05.953,+0.089,+0.003,140.3,7,RANGONI,ITA,,ITA-JUN,,,,,,,,,,,,,Stefani,RONNIE,,,ITA,,,,,,,
4,84,4,2:06.203,+0.339,+0.250,140.0,7,RANGONI,ITA,CCS,CCS-CHA/ITA-CHA,,,,,,,,,,,,,Mattia,LANCELLOTTI,,,ITA,,,,,,,
5,5,4,2:06.240,+0.376,+0.037,140.0,8,RANGONI,,CCS,,,,,,,,,,,,,,Anthony,JURADO,,,FRA,,,,,,,
6,11,5,2:06.295,+0.431,+0.055,139.9,7,RANGONI,,CCS,CCS-JUN,,,,,,,,,,,,,Nikola,TOSIC,,,SRB,,,,,,,
7,15,7,2:06.296,+0.432,+0.001,139.9,7,GPA RACING,,CCS,,,,,,,,,,,,,,David,POUGET,,,FRA,,,,,,,
8,777,4,2:06.489,+0.625,+0.193,139.7,7,ESSE CORSE,ITA,,ITA-GEN,,,,,,,,,,,,,Cristian,RICCIARINI,,,ITA,,,,,,,
9,127,4,2:06.493,+0.629,+0.004,139.7,7,MILAN COMPETITION,ITA,CCS,,,,,,,,,,,,,,Gael,CASTELLI,,,FRA,,,,,,,
10,13,5,2:06.553,+0.689,+0.060,139.6,7,GPA RACING,ITA,CCS,CCS-CHA/ITA-CHA,,,,,,,,,,,,,Alex,LANCELLOTTI,,,ITA,,,,,,,
